Product ID,N_Extracción,Datos
16,Extracción 0,"['2023/07/15 20:40:42', '839.00']"
16,Extracción 1,"['2023/07/15 20:40:42', '839.00']"
16,Extracción 2,"['2023/07/16 09:16:42', '839.00']"
16,Extracción 3,"['2023/07/16 14:52:42', '839.00']"
16,Extracción 4,"['2023/07/17 03:28:42', '839.00']"
16,Extracción 5,"['2023/07/17 09:04:42', '839.00']"
16,Extracción 6,"['2023/07/17 14:40:42', '839.00']"
16,Extracción 7,"['2023/07/18 03:16:42', '839.00']"
16,Extracción 8,"['2023/07/18 08:52:42', '839.00']"
16,Extracción 9,"['2023/07/18 14:28:42', '839.00']"
16,Extracción 10,"['2023/07/19 03:04:42', '839.00']"
16,Extracción 11,"['2023/07/19 08:40:42', '839.00']"
16,Extracción 12,"['2023/07/19 14:16:42', '839.00']"
16,Extracción 13,"['2023/07/20 02:52:42', '839.00']"
16,Extracción 14,"['2023/07/20 08:28:42', '839.00']"
16,Extracción 15,"['2023/07/20 14:04:42', '839.00']"
16,Extracción 16,"['2023/07/21 02:40:42', '839.00']"
16,Extracción 17,"['2023/07/21 08:16:42', '839.00']"
16,Extracción 18,"['2023/07/21 13:52:42', '839.00']"
16,Extracción 19,"['2023/07/22 01:04:42', '839.00']"
16,Extracción 20,"['2023/07/22 01:04:42', '839.00']"
16,Extracción 21,"['2023/07/22 13:40:42', '839.00']"
16,Extracción 22,"['2023/07/22 19:16:42', '839.00']"
16,Extracción 23,"['2023/07/23 00:52:42', '839.00']"
16,Extracción 24,"['2023/07/23 13:28:42', '839.00']"
16,Extracción 25,"['2023/07/23 19:04:42', '839.00']"
16,Extracción 26,"['2023/07/24 00:40:42', '839.00']"
16,Extracción 27,"['2023/07/24 13:16:42', '839.00']"
16,Extracción 28,"['2023/07/24 18:52:42', '839.00']"
16,Extracción 29,"['2023/07/25 00:28:42', '839.00']"
16,Extracción 30,"['2023/07/25 13:04:42', '839.00']"
16,Extracción 31,"['2023/07/25 18:40:42', '839.00']"
16,Extracción 32,"['2023/07/26 00:16:42', '839.00']"
16,Extracción 33,"['2023/07/26 12:52:42', '839.00']"
16,Extracción 34,"['2023/07/26 18:28:42', '839.00']"
16,Extracción 35,"['2023/07/27 00:04:42', '839.00']"
16,Extracción 36,"['2023/07/27 12:40:42', '839.00']"
16,Extracción 37,"['2023/07/27 18:16:42', '839.00']"
16,Extracción 38,"['2023/07/27 23:52:42', '839.00']"
16,Extracción 39,"['2023/07/28 12:28:42', '839.00']"
16,Extracción 40,"['2023/07/28 12:28:42', '839.00']"
16,Extracción 41,"['2023/07/28 23:40:42', '839.00']"
16,Extracción 42,"['2023/07/29 05:16:42', '839.00']"
16,Extracción 43,"['2023/07/29 12:16:42', '839.00']"
