,0,product ID,category ID
0,Aspiradora con Bolsa BECKEN BVC3878 (69 dB - Bolsa de polvo 3 L),57,5
1,Lavavajillas BALAY 3VS506BP (12 Cubiertos - 60 cm - Blanco),58,4
2,Frigorífico Combi LG GBB72NSUCN1 (No Frost - 203 cm - 384 L - Inox),69,4
3,Lavadora BALAY 3TS993BT (9 kg - 1200 rpm - Blanco),80,4
4,Lavadora HISENSE WFVB7012EM (7 kg - 1200 rpm - Blanco),91,4
5,Frigorífico Combi LG GBP62PZNAC (No Frost - 203 cm - 384 L - Inox),100,4
6,Frigorífico Combi BALAY Cristal 3KFD765NI (No Frost - 203 cm - 368 L - Negro),101,4
7,Horno KUNFT 6F KBIO4445 (51 L - 59.5 cm - Inox),102,4
8,TV LG NANO 65NANO763QA (Nano Cell - 65'' - 165 cm - 4K Ultra HD - Smart TV),103,1
9,Frigorífico Combi CANDY CCT3L517FW (Frost Free - 176 cm - 260 L - Blanco,104,4
10,Frigorífico Combi LG GBB61SWGCN (No Frost - 186 cm - 341 L - Blanco),59,4
11,Placa de Vitrocerámica KUNFT KVH3934 (Eléctrica - 59 cm - Negro),60,4
12,Placa Flex de Inducción AEG ILB63445FB (Eléctrica - 59 cm - Negro),61,4
13,Lavadora LG Autodosificación F4WV3509S3W (9 kg - 1400 rpm - Blanco),62,4
14,Frigorífico Combi BALAY 3KFE561WI (No Frost - 186 cm - 302 L - Blanco),63,4
15,Campana KUNFT 60 KCHS4852 WH (216.5 m3/h - 60 cm - Blanco),64,4
16,Lavadora HOOVER H3TM38TACE/1-37 (8 kg - 1300 rpm - Blanco),65,4
17,Campana KUNFT KCHPS2339N (429.4 m3/h - 60 cm - Inox),66,4
18,Lavadora LG F4WV3010S3W (10.5 kg - 1400 rpm - Blanco),67,4
19,TV SAMSUNG QLED 50QN92CATXX (Neo QLED - 50'' 127 cm - 4K Ultra HD - Smart TV),68,1
20,Frigorífico Combi LG GBP62PZNBC DoorCooling (No Frost - 384 L - 203 cm - Gris),70,4
21,Lavadora BEKO WTE 7611 BWR (7 kg - 1200 rpm - Blanco),71,4
22,Lavasecadora INDESIT BDE 96435 9WB SPT (6/9 kg - 1400 rpm - Blanco),71,4
23,Lavavajillas TEKA DFS 24610 WH (9 Cubiertos - 44.8 cm - Blanco),73,4
24,Frigorífico Combi TEKA NFL 320 (No Frost - 188 cm - 323 L - Blanco),74,4
25,Frigorífico Combi Integrable BECKEN BBIC2341N (Estático - 177 cm - 250 L - Blanco),75,4
26,Microondas LG MH6535GIB (25 L - Con grill - Negro),76,5
27,Lavavajillas Integrable BECKEN BBIDW5370 (12 Cubiertos - 59.6 cm - Panel Inox),77,4
28,Placa de Vitrocerámica TEKA TZ 6315 (Eléctrica - 60 cm - Negro),78,4
29,Frigorífico Combi INDESIT LI9 S2E X (Estático - 201.3 cm - 372 L - Inox),79,4
30,Cocina KUNFT KGS4503 IX NAT (46 L - Gas Natural - Inox),81,4
31,Microondas KUNFT KMW-5219 (20 L - Con Grill - Blanco),82,5
32,Lavasecadora LG F4DV5509SMW (6/9 kg - 1400 rpm - Blanco),83,4
33,Microondas Integrable BALAY 3CG6142X3 (20 L - Con Grill - Inox),84,5
34,Campana CATA V-6000 X (510 m3/h - 59.5 cm - Inox),85,4
35,Frigorífico 2 puertas TEKA RTF 13610 (Estático - 176 cm - 294 L - Blanco),86,4
36,Lavavajillas LG DF325FW (14 Cubiertos - 60 cm - Blanco),87,4
37,Microondas Integrable BALAY 3CG6142B3 (20 L - Con grill - Blanco),88,5
38,Placa de Gas KUNFT KGH2431 (Gas Butano-propano - 62.6 cm - Inox),89,4
39,Campana KUNFT 60 KCHS4852 IX (216.5 m3/h - 60 cm - Inox),90,4
40,Frigorífico Combi BALAY Cristal 3KFC869NI (No Frost - 203 cm - 363 L - Negro),92,4
41,Cafetera DELONGHI ETAM29.510.B (15 bar - 13 Niveles de molienda),93,5
42,Lavadora Integrable TEKA LI6 1470 (7 kg - 1400 rpm - Blanco),94,4
43,Campana KUNFT KCHS3125 IX (347 m3/h - 90 cm - Inox),95,4
44,Lavavajillas Integrable TEKA DFI 44700 WH (10 Cubiertos - 44.8 cm - Panel Negro),96,4
45,Termo Eléctrico CATA CTRH 80 M (80 L - bar),97,4
46,Placa Vitrocerámica BALAY 3EB764EN (Eléctrica - 59 cm - Negro),98,4
47,Frigorífico Combi CANDY CCE4T618EW E (No Frost - 185 cm - 341 L - Blanco),99,4
