Product ID,N_Extracción,Datos
44,Extracción 0,"['2023/05/10 16:58:27', '1899.00']"
44,Extracción 1,"['2023/05/10 16:58:27', '1899.00']"
44,Extracción 2,"['2023/05/11 09:46:27', '1899.00']"
44,Extracción 3,"['2023/05/11 19:34:27', '1899.00']"
