Product ID,N_Extracción,Datos
12,Extracción 102,"['2023/07/14 14:06:01', '429.00']"
12,Extracción 103,"['2023/07/14 22:30:01', '429.00']"
12,Extracción 104,"['2023/07/15 13:54:01', '429.00']"
12,Extracción 105,"['2023/07/15 22:18:01', '429.00']"
12,Extracción 106,"['2023/07/16 06:42:01', '429.00']"
12,Extracción 107,"['2023/07/16 23:30:01', '429.00']"
12,Extracción 108,"['2023/07/17 07:54:01', '429.00']"
12,Extracción 109,"['2023/07/17 16:18:01', '429.00']"
12,Extracción 110,"['2023/07/18 09:06:01', '429.00']"
12,Extracción 111,"['2023/07/18 16:06:01', '429.00']"
12,Extracción 112,"['2023/07/19 00:30:01', '429.00']"
12,Extracción 113,"['2023/07/19 17:18:01', '429.00']"
12,Extracción 114,"['2023/07/20 01:42:01', '429.00']"
12,Extracción 115,"['2023/07/20 10:06:01', '429.00']"
12,Extracción 116,"['2023/07/21 02:54:01', '429.00']"
12,Extracción 117,"['2023/07/21 10:24:39', '319.00']"
12,Extracción 118,"['2023/07/21 18:48:39', '319.00']"
12,Extracción 119,"['2023/07/22 11:36:39', '319.00']"
12,Extracción 120,"['2023/07/22 11:36:39', '319.00']"
12,Extracción 121,"['2023/07/23 04:24:39', '319.00']"
12,Extracción 122,"['2023/07/23 11:24:39', '319.00']"
12,Extracción 123,"['2023/07/23 19:48:39', '319.00']"
12,Extracción 124,"['2023/07/24 12:36:39', '319.00']"
12,Extracción 125,"['2023/07/24 21:00:39', '319.00']"
12,Extracción 126,"['2023/07/25 05:24:39', '319.00']"
12,Extracción 127,"['2023/07/25 22:12:39', '319.00']"
12,Extracción 128,"['2023/07/26 05:12:39', '319.00']"
12,Extracción 129,"['2023/07/26 13:36:39', '319.00']"
12,Extracción 130,"['2023/07/27 06:24:39', '319.00']"
12,Extracción 131,"['2023/07/27 14:48:39', '319.00']"
12,Extracción 132,"['2023/07/27 23:12:39', '319.00']"
12,Extracción 133,"['2023/07/28 16:00:39', '319.00']"
12,Extracción 134,"['2023/07/29 00:24:39', '319.00']"
12,Extracción 135,"['2023/07/29 07:24:39', '319.00']"
12,Extracción 136,"['2023/07/30 00:12:39', '319.00']"
12,Extracción 137,"['2023/07/30 08:36:39', '319.00']"
12,Extracción 138,"['2023/07/30 17:00:39', '319.00']"
12,Extracción 139,"['2023/07/31 09:50:31', '429.00']"
12,Extracción 140,"['2023/07/31 09:50:31', '429.00']"
12,Extracción 141,"['2023/08/01 01:14:31', '429.00']"
12,Extracción 142,"['2023/08/01 09:38:31', '429.00']"
12,Extracción 143,"['2023/08/01 18:02:31', '429.00']"
12,Extracción 144,"['2023/08/02 10:50:31', '429.00']"
12,Extracción 145,"['2023/08/02 19:14:31', '429.00']"
12,Extracción 146,"['2023/08/03 03:38:31', '429.00']"
