Product ID,N_Extracción,Fecha,Precio
24,Extracción 0,'2023/05/15 03:06:26','4199.00'
24,Extracción 1,'2023/05/15 03:06:26','4199.00'
24,Extracción 2,'2023/05/15 21:18:26','4199.00'
24,Extracción 3,'2023/05/16 07:06:26','4199.00'
24,Extracción 4,'2023/05/17 00:06:06','3569.15'
24,Extracción 5,'2023/05/17 09:54:06','3569.15'
24,Extracción 6,'2023/05/17 18:18:06','3569.15'
24,Extracción 7,'2023/05/18 13:15:54','4199.00'
24,Extracción 8,'2023/05/18 21:39:54','4199.00'
24,Extracción 9,'2023/05/19 06:03:54','4199.00'
24,Extracción 10,'2023/05/20 00:15:54','4199.00'
24,Extracción 11,'2023/05/20 10:03:54','4199.00'
24,Extracción 12,'2023/05/20 18:27:54','4199.00'
24,Extracción 13,'2023/05/21 12:39:54','4199.00'
24,Extracción 14,'2023/05/21 21:03:54','4199.00'
24,Extracción 15,'2023/05/22 06:51:54','4199.00'
24,Extracción 16,'2023/05/23 01:03:54','4199.00'
24,Extracción 17,'2023/05/23 09:27:54','4199.00'
24,Extracción 18,'2023/05/23 19:15:54','4199.00'
24,Extracción 19,'2023/05/24 12:03:54','4199.00'
24,Extracción 20,'2023/05/24 12:03:54','4199.00'
24,Extracción 21,'2023/05/25 06:15:54','4199.00'
24,Extracción 22,'2023/05/25 16:03:54','4199.00'
24,Extracción 23,'2023/05/26 00:27:54','4199.00'
24,Extracción 24,'2023/05/26 18:39:54','4199.00'
24,Extracción 25,'2023/05/27 03:03:54','4199.00'
24,Extracción 26,'2023/05/27 12:51:54','4199.00'
24,Extracción 27,'2023/05/28 07:03:54','4199.00'
24,Extracción 28,'2023/05/28 15:27:54','4199.00'
24,Extracción 29,'2023/05/29 01:00:49','3470.25'
24,Extracción 30,'2023/05/29 19:12:49','3470.25'
24,Extracción 31,'2023/05/30 03:36:49','3470.25'
24,Extracción 32,'2023/05/30 12:28:57','4199.00'
24,Extracción 33,'2023/05/31 06:40:57','4199.00'
24,Extracción 34,'2023/05/31 15:04:57','4199.00'
