Product ID,N_Extracción,Fecha,Precio
9,Extracción 0,'2023/05/14 18:46:52','33.99'
9,Extracción 1,'2023/05/14 18:46:52','33.99'
9,Extracción 2,'2023/05/15 12:58:52','33.99'
9,Extracción 3,'2023/05/15 22:46:52','33.99'
9,Extracción 4,'2023/05/16 16:58:52','33.99'
9,Extracción 5,'2023/05/17 01:21:15','28.89'
9,Extracción 6,0,0
9,Extracción 7,'2023/05/18 03:57:15','28.89'
9,Extracción 8,'2023/05/18 13:13:43','33.99'
9,Extracción 9,'2023/05/18 22:44:29','32.99'
9,Extracción 10,'2023/05/19 16:56:29','32.99'
9,Extracción 11,'2023/05/20 01:20:29','32.99'
9,Extracción 12,'2023/05/20 11:08:29','32.99'
9,Extracción 13,'2023/05/21 03:56:29','32.99'
9,Extracción 14,'2023/05/21 13:44:29','32.99'
9,Extracción 15,'2023/05/21 22:08:29','32.99'
9,Extracción 16,'2023/05/22 16:20:29','32.99'
9,Extracción 17,'2023/05/23 02:08:29','32.99'
9,Extracción 18,'2023/05/23 10:32:29','32.99'
9,Extracción 19,'2023/05/24 04:44:29','32.99'
9,Extracción 20,'2023/05/24 04:44:29','32.99'
9,Extracción 21,'2023/05/24 22:56:29','32.99'
9,Extracción 22,'2023/05/25 07:20:29','32.99'
9,Extracción 23,'2023/05/25 17:08:29','32.99'
9,Extracción 24,'2023/05/26 09:56:29','32.99'
9,Extracción 25,'2023/05/26 19:44:29','32.99'
9,Extracción 26,'2023/05/27 04:08:29','32.99'
9,Extracción 27,'2023/05/27 22:20:29','32.99'
9,Extracción 28,'2023/05/28 07:32:26','39.99'
9,Extracción 29,'2023/05/28 16:48:26','37.99'
9,Extracción 30,'2023/05/29 10:50:13','31.40'
9,Extracción 31,'2023/05/29 19:14:13','31.40'
9,Extracción 32,'2023/05/30 05:02:13','31.40'
9,Extracción 33,'2023/05/30 22:27:39','32.99'
9,Extracción 34,'2023/05/31 06:51:39','32.99'
9,Extracción 35,'2023/05/31 16:52:27','39'
9,Extracción 36,'2023/06/01 11:04:27','39'
9,Extracción 37,'2023/06/01 19:28:27','39.99'
9,Extracción 38,'2023/06/02 03:52:27','39'
9,Extracción 39,'2023/06/02 22:33:38','32.99'
9,Extracción 40,'2023/06/02 22:33:38','32.99'
9,Extracción 41,'2023/06/03 16:45:38','32.99'
9,Extracción 42,'2023/06/04 01:09:38','32.99'
9,Extracción 43,'2023/06/04 10:57:38','32.99'
9,Extracción 44,'2023/06/05 05:09:38','32.99'
9,Extracción 45,'2023/06/05 14:09:30','39.99'
9,Extracción 46,'2023/06/05 22:33:30','39'
9,Extracción 47,'2023/06/06 16:45:30','39'
9,Extracción 48,'2023/06/07 01:09:30','39.99'
9,Extracción 49,'2023/06/07 10:57:30','39'
9,Extracción 50,'2023/06/08 05:09:30','39'
9,Extracción 51,'2023/06/08 14:12:04','32.99'
9,Extracción 52,'2023/06/08 22:36:04','32.99'
