Product ID,N_Extracción,Datos
53,Extracción 0,"['2023/05/12 03:10:24', '189.00']"
53,Extracción 1,"['2023/05/12 03:10:24', '189.00']"
53,Extracción 2,"['2023/05/12 21:22:24', '189.00']"
53,Extracción 3,"['2023/05/13 07:10:24', '189.00']"
53,Extracción 4,"['2023/05/14 01:22:24', '189.00']"
53,Extracción 5,"['2023/05/14 09:46:24', '189.00']"
53,Extracción 6,"['2023/05/14 18:10:24', '189.00']"
53,Extracción 7,"['2023/05/15 12:57:56', '218.00']"
53,Extracción 8,"['2023/05/15 21:21:56', '218.00']"
53,Extracción 9,"['2023/05/16 07:09:56', '218.00']"
53,Extracción 10,"['2023/05/17 00:50:21', '179.00']"
53,Extracción 11,"['2023/05/17 09:14:21', '179.00']"
53,Extracción 12,"['2023/05/17 19:02:21', '179.00']"
53,Extracción 13,"['2023/05/18 13:14:21', '179.00']"
53,Extracción 14,"['2023/05/18 21:38:21', '179.00']"
53,Extracción 15,"['2023/05/19 06:02:21', '179.00']"
53,Extracción 16,"['2023/05/20 00:14:21', '179.00']"
53,Extracción 17,"['2023/05/20 10:02:21', '179.00']"
53,Extracción 18,"['2023/05/20 18:26:21', '179.00']"
53,Extracción 19,"['2023/05/21 12:38:21', '179.00']"
53,Extracción 20,"['2023/05/21 12:38:21', '179.00']"
53,Extracción 21,"['2023/05/22 06:50:21', '179.00']"
53,Extracción 22,"['2023/05/22 15:14:21', '179.00']"
53,Extracción 23,"['2023/05/23 01:02:21', '179.00']"
53,Extracción 24,"['2023/05/23 19:14:21', '179.00']"
53,Extracción 25,"['2023/05/24 03:38:21', '179.00']"
53,Extracción 26,"['2023/05/24 12:02:21', '179.00']"
53,Extracción 27,"['2023/05/25 06:14:21', '179.00']"
53,Extracción 28,"['2023/05/25 16:02:21', '179.00']"
53,Extracción 29,"['2023/05/26 00:26:21', '179.00']"
53,Extracción 30,"['2023/05/26 18:38:21', '179.00']"
53,Extracción 31,"['2023/05/27 04:26:21', '179.00']"
53,Extracción 32,"['2023/05/27 12:50:21', '179.00']"
53,Extracción 33,"['2023/05/28 07:02:21', '179.00']"
53,Extracción 34,"['2023/05/28 16:21:40', '216.00']"
53,Extracción 35,"['2023/05/29 00:58:55', '178.51']"
53,Extracción 36,"['2023/05/29 19:10:55', '178.51']"
53,Extracción 37,"['2023/05/30 03:34:55', '178.51']"
53,Extracción 38,"['2023/05/30 13:10:15', '216.00']"
53,Extracción 39,"['2023/05/31 06:05:32', '221.00']"
53,Extracción 40,"['2023/05/31 06:05:32', '221.00']"
53,Extracción 41,"['2023/06/01 00:17:32', '221.00']"
53,Extracción 42,"['2023/06/01 09:47:31', '189.00']"
53,Extracción 43,"['2023/06/01 18:11:31', '189.00']"
53,Extracción 44,"['2023/06/02 12:23:31', '189.00']"
53,Extracción 45,"['2023/06/02 22:11:31', '189.00']"
53,Extracción 46,"['2023/06/03 06:35:31', '189.00']"
53,Extracción 47,"['2023/06/04 00:47:31', '189.00']"
53,Extracción 48,"['2023/06/04 09:11:31', '189.00']"
53,Extracción 49,"['2023/06/04 18:59:31', '189.00']"
53,Extracción 50,"['2023/06/05 13:11:31', '189.00']"
53,Extracción 51,"['2023/06/05 21:35:31', '189.00']"
53,Extracción 52,"['2023/06/06 07:23:31', '189.00']"
53,Extracción 53,"['2023/06/07 00:11:31', '189.00']"
53,Extracción 54,"['2023/06/07 09:59:31', '189.00']"
53,Extracción 55,"['2023/06/07 18:23:31', '189.00']"
53,Extracción 56,"['2023/06/08 12:35:31', '189.00']"
53,Extracción 57,"['2023/06/08 22:23:31', '189.00']"
53,Extracción 58,"['2023/06/09 06:47:31', '189.00']"
53,Extracción 59,"['2023/06/10 00:59:31', '189.00']"
53,Extracción 60,"['2023/06/10 00:59:31', '189.00']"
53,Extracción 61,"['2023/06/10 19:11:31', '189.00']"
53,Extracción 62,"['2023/06/11 03:35:31', '189.00']"
53,Extracción 63,"['2023/06/11 13:23:31', '189.00']"
53,Extracción 64,"['2023/06/12 06:11:31', '189.00']"
53,Extracción 65,"['2023/06/12 15:59:31', '189.00']"
53,Extracción 66,"['2023/06/13 00:23:31', '189.00']"
53,Extracción 67,"['2023/06/13 18:35:31', '189.00']"
53,Extracción 68,"[0, 0]"
53,Extracción 69,"[0, 0]"
53,Extracción 70,"['2023/06/15 06:59:31', '189.00']"
53,Extracción 71,"[0, 0]"
53,Extracción 72,"[0, 0]"
53,Extracción 73,"['2023/06/16 19:23:31', '189.00']"
53,Extracción 74,"['2023/06/17 03:47:31', '189.00']"
53,Extracción 75,"['2023/06/17 12:11:31', '189.00']"
53,Extracción 76,"['2023/06/18 06:23:31', '189.00']"
53,Extracción 77,"['2023/06/18 16:11:31', '189.00']"
53,Extracción 78,"['2023/06/19 00:35:31', '189.00']"
53,Extracción 79,"['2023/06/19 19:09:38', '194.00']"
53,Extracción 80,"['2023/06/19 19:09:38', '194.00']"
53,Extracción 81,"['2023/06/20 13:21:38', '194.00']"
53,Extracción 82,"['2023/06/20 21:45:38', '194.00']"
53,Extracción 83,"['2023/06/21 06:57:51', '195.00']"
53,Extracción 84,"['2023/06/22 01:09:51', '195.00']"
53,Extracción 85,"['2023/06/22 09:33:51', '195.00']"
53,Extracción 86,"['2023/06/22 19:21:51', '195.00']"
53,Extracción 87,"[0, 0]"
53,Extracción 88,"[0, 0]"
53,Extracción 89,"[0, 0]"
53,Extracción 90,"[0, 0]"
53,Extracción 91,"[0, 0]"
53,Extracción 92,"[0, 0]"
53,Extracción 93,"[0, 0]"
53,Extracción 94,"[0, 0]"
53,Extracción 95,"[0, 0]"
53,Extracción 96,"[0, 0]"
53,Extracción 97,"[0, 0]"
53,Extracción 98,"[0, 0]"
53,Extracción 99,"[0, 0]"
53,Extracción 100,"[0, 0]"
53,Extracción 101,"[0, 0]"
53,Extracción 102,"[0, 0]"
53,Extracción 103,"[0, 0]"
53,Extracción 104,"[0, 0]"
53,Extracción 105,"[0, 0]"
53,Extracción 106,"[0, 0]"
53,Extracción 107,"[0, 0]"
53,Extracción 108,"[0, 0]"
53,Extracción 109,"[0, 0]"
53,Extracción 110,"[0, 0]"
53,Extracción 111,"[0, 0]"
53,Extracción 112,"[0, 0]"
53,Extracción 113,"[0, 0]"
53,Extracción 114,"[0, 0]"
53,Extracción 115,"[0, 0]"
53,Extracción 116,"[0, 0]"
53,Extracción 117,"[0, 0]"
53,Extracción 118,"[0, 0]"
53,Extracción 119,"[0, 0]"
53,Extracción 120,"[0, 0]"
53,Extracción 121,"[0, 0]"
53,Extracción 122,"[0, 0]"
53,Extracción 123,"[0, 0]"
53,Extracción 124,"[0, 0]"
53,Extracción 125,"[0, 0]"
53,Extracción 126,"[0, 0]"
53,Extracción 127,"[0, 0]"
53,Extracción 128,"[0, 0]"
53,Extracción 129,"[0, 0]"
53,Extracción 130,"['2023/07/14 13:42:26', '179.00']"
53,Extracción 131,"['2023/07/14 22:06:26', '179.00']"
53,Extracción 132,"['2023/07/15 06:30:26', '179.00']"
53,Extracción 133,"['2023/07/16 00:42:26', '179.00']"
53,Extracción 134,"['2023/07/16 10:30:26', '179.00']"
53,Extracción 135,"['2023/07/16 18:54:26', '179.00']"
53,Extracción 136,"['2023/07/17 13:06:26', '179.00']"
53,Extracción 137,"['2023/07/17 21:30:26', '179.00']"
53,Extracción 138,"['2023/07/18 07:18:26', '179.00']"
53,Extracción 139,"['2023/07/19 01:30:26', '179.00']"
53,Extracción 140,"['2023/07/19 01:30:26', '179.00']"
53,Extracción 141,"['2023/07/19 19:42:26', '179.00']"
53,Extracción 142,"['2023/07/20 04:06:26', '179.00']"
53,Extracción 143,"['2023/07/20 12:30:26', '179.00']"
53,Extracción 144,"['2023/07/21 06:42:26', '179.00']"
53,Extracción 145,"['2023/07/21 16:26:32', '189.00']"
53,Extracción 146,"['2023/07/22 00:50:32', '189.00']"
53,Extracción 147,"['2023/07/22 19:02:32', '189.00']"
53,Extracción 148,"['2023/07/23 03:26:32', '189.00']"
53,Extracción 149,"['2023/07/23 13:14:32', '189.00']"
53,Extracción 150,"['2023/07/24 07:26:32', '189.00']"
53,Extracción 151,"['2023/07/24 15:50:32', '189.00']"
53,Extracción 152,"['2023/07/25 01:38:32', '189.00']"
53,Extracción 153,"['2023/07/25 18:26:32', '189.00']"
53,Extracción 154,"['2023/07/26 04:14:32', '189.00']"
53,Extracción 155,"['2023/07/26 12:38:32', '189.00']"
53,Extracción 156,"['2023/07/27 06:50:32', '189.00']"
53,Extracción 157,"['2023/07/27 16:38:32', '189.00']"
53,Extracción 158,"['2023/07/28 01:02:32', '189.00']"
53,Extracción 159,"['2023/07/28 19:14:32', '189.00']"
53,Extracción 160,"['2023/07/28 19:14:32', '189.00']"
53,Extracción 161,"['2023/07/29 13:26:32', '189.00']"
53,Extracción 162,"['2023/07/29 21:50:32', '189.00']"
53,Extracción 163,"['2023/07/30 07:38:32', '189.00']"
53,Extracción 164,"['2023/07/31 00:26:32', '189.00']"
53,Extracción 165,"['2023/07/31 10:14:32', '189.00']"
53,Extracción 166,"['2023/07/31 19:33:52', '169.00']"
53,Extracción 167,"['2023/08/01 12:25:26', '189.90']"
53,Extracción 168,"['2023/08/01 22:13:26', '189.90']"
53,Extracción 169,"['2023/08/02 06:37:26', '189.90']"
53,Extracción 170,"['2023/08/03 00:49:26', '189.90']"
53,Extracción 171,"['2023/08/03 10:37:26', '189.90']"
53,Extracción 172,"['2023/08/03 19:01:26', '189.90']"
53,Extracción 173,"['2023/08/04 13:13:26', '189.90']"
53,Extracción 174,"['2023/08/04 21:37:26', '189.90']"
53,Extracción 175,"['2023/08/05 07:25:26', '189.90']"
53,Extracción 176,"['2023/08/06 01:37:26', '189.90']"
53,Extracción 177,"['2023/08/06 10:01:26', '189.90']"
53,Extracción 178,"['2023/08/06 19:49:26', '189.90']"
53,Extracción 179,"['2023/08/07 13:41:55', '199.00']"
53,Extracción 180,"['2023/08/07 13:41:55', '199.00']"
53,Extracción 181,"['2023/08/08 06:29:55', '199.00']"
53,Extracción 182,"['2023/08/08 16:17:55', '199.00']"
53,Extracción 183,"['2023/08/09 00:41:55', '199.00']"
53,Extracción 184,"['2023/08/09 18:53:55', '199.00']"
53,Extracción 185,"['2023/08/10 04:41:55', '199.00']"
53,Extracción 186,"['2023/08/10 13:05:55', '199.00']"
53,Extracción 187,"['2023/08/11 07:17:55', '199.00']"
53,Extracción 188,"['2023/08/11 15:41:55', '199.00']"
53,Extracción 189,"['2023/08/12 01:29:55', '199.00']"
53,Extracción 190,"['2023/08/12 19:41:55', '199.00']"
53,Extracción 191,"['2023/08/13 04:05:55', '199.00']"
53,Extracción 192,"[0, 0]"
53,Extracción 193,"[0, 0]"
53,Extracción 194,"[0, 0]"
53,Extracción 195,"[0, 0]"
53,Extracción 196,"['2023/08/15 19:02:54', '169.90']"
53,Extracción 197,"['2023/08/16 04:50:54', '169.90']"
53,Extracción 198,"['2023/08/16 13:14:54', '169.90']"
53,Extracción 199,"['2023/08/17 07:26:54', '169.90']"
53,Extracción 200,"['2023/08/17 07:26:54', '169.90']"
53,Extracción 201,"['2023/08/18 01:38:54', '169.90']"
53,Extracción 202,"['2023/08/18 10:02:54', '169.90']"
53,Extracción 203,"['2023/08/18 19:50:54', '169.90']"
53,Extracción 204,"['2023/08/19 12:38:54', '169.90']"
53,Extracción 205,"[0, 0]"
53,Extracción 206,"[0, 0]"
53,Extracción 207,"[0, 0]"
53,Extracción 208,"[0, 0]"
53,Extracción 209,"[0, 0]"
53,Extracción 210,"[0, 0]"
53,Extracción 211,"[0, 0]"
53,Extracción 212,"[0, 0]"
53,Extracción 213,"[0, 0]"
53,Extracción 214,"[0, 0]"
53,Extracción 215,"[0, 0]"
53,Extracción 216,"[0, 0]"
53,Extracción 217,"[0, 0]"
53,Extracción 218,"[0, 0]"
53,Extracción 219,"[0, 0]"
53,Extracción 220,"[0, 0]"
53,Extracción 221,"[0, 0]"
53,Extracción 222,"[0, 0]"
53,Extracción 223,"[0, 0]"
53,Extracción 224,"[0, 0]"
53,Extracción 225,"[0, 0]"
53,Extracción 226,"[0, 0]"
53,Extracción 227,"[0, 0]"
53,Extracción 228,"[0, 0]"
53,Extracción 229,"[0, 0]"
53,Extracción 230,"[0, 0]"
53,Extracción 231,"[0, 0]"
53,Extracción 232,"[0, 0]"
53,Extracción 233,"[0, 0]"
53,Extracción 234,"[0, 0]"
53,Extracción 235,"[0, 0]"
53,Extracción 236,"[0, 0]"
53,Extracción 237,"[0, 0]"
53,Extracción 238,"[0, 0]"
53,Extracción 239,"[0, 0]"
53,Extracción 240,"[0, 0]"
53,Extracción 241,"[0, 0]"
53,Extracción 242,"[0, 0]"
53,Extracción 243,"[0, 0]"
53,Extracción 244,"[0, 0]"
53,Extracción 245,"[0, 0]"
53,Extracción 246,"[0, 0]"
53,Extracción 247,"[0, 0]"
53,Extracción 248,"[0, 0]"
53,Extracción 249,"[0, 0]"
53,Extracción 250,"[0, 0]"
53,Extracción 251,"[0, 0]"
53,Extracción 252,"[0, 0]"
53,Extracción 253,"[0, 0]"
53,Extracción 254,"[0, 0]"
53,Extracción 255,"[0, 0]"
