Product ID,N_Extracción,Datos
52,Extracción 0,"[0, 0]"
52,Extracción 1,"[0, 0]"
52,Extracción 2,"['2023/05/11 22:42:29', '229.00']"
52,Extracción 3,"['2023/05/12 08:30:29', '229.00']"
52,Extracción 4,"['2023/05/13 02:42:29', '229.00']"
52,Extracción 5,"['2023/05/13 11:06:29', '229.00']"
52,Extracción 6,"['2023/05/13 19:30:29', '229.00']"
52,Extracción 7,"['2023/05/14 13:42:29', '229.00']"
52,Extracción 8,"['2023/05/14 23:30:29', '229.00']"
52,Extracción 9,"['2023/05/15 07:54:29', '229.00']"
52,Extracción 10,"[0, 0]"
52,Extracción 11,"[0, 0]"
52,Extracción 12,"['2023/05/16 19:41:19', '237.15']"
52,Extracción 13,"['2023/05/17 13:53:19', '237.15']"
52,Extracción 14,"['2023/05/17 23:41:19', '237.15']"
52,Extracción 15,"['2023/05/18 08:05:19', '237.15']"
52,Extracción 16,"['2023/05/19 02:30:01', '309.00']"
52,Extracción 17,"['2023/05/19 10:54:01', '309.00']"
52,Extracción 18,"['2023/05/19 20:42:01', '309.00']"
52,Extracción 19,"['2023/05/20 14:54:01', '309.00']"
52,Extracción 20,"['2023/05/20 14:54:01', '309.00']"
52,Extracción 21,"['2023/05/21 07:42:01', '309.00']"
52,Extracción 22,"['2023/05/21 17:30:01', '309.00']"
52,Extracción 23,"['2023/05/22 01:47:04', '263.00']"
52,Extracción 24,"['2023/05/22 19:59:04', '263.00']"
52,Extracción 25,"['2023/05/23 05:47:04', '263.00']"
52,Extracción 26,"['2023/05/23 14:02:38', '279.00']"
52,Extracción 27,"['2023/05/24 08:14:38', '279.00']"
52,Extracción 28,"['2023/05/24 16:38:38', '279.00']"
52,Extracción 29,"['2023/05/25 02:26:38', '279.00']"
52,Extracción 30,"['2023/05/25 20:34:15', '329.00']"
52,Extracción 31,"['2023/05/26 04:54:08', '279.00']"
52,Extracción 32,"['2023/05/26 14:56:19', '337.00']"
52,Extracción 33,"['2023/05/27 07:44:19', '337.00']"
52,Extracción 34,"['2023/05/27 17:32:19', '337.00']"
52,Extracción 35,"['2023/05/28 01:56:19', '337.00']"
52,Extracción 36,"['2023/05/28 20:34:41', '278.51']"
52,Extracción 37,"['2023/05/29 04:58:41', '278.51']"
52,Extracción 38,"['2023/05/29 14:46:41', '278.51']"
52,Extracción 39,"['2023/05/30 08:34:22', '258.68']"
52,Extracción 40,"['2023/05/30 08:34:22', '258.68']"
52,Extracción 41,"['2023/05/31 02:06:01', '337.00']"
52,Extracción 42,"['2023/05/31 11:10:52', '259.00']"
52,Extracción 43,"['2023/05/31 20:58:52', '259.00']"
52,Extracción 44,"['2023/06/01 13:42:43', '269.00']"
52,Extracción 45,"['2023/06/01 23:30:43', '269.00']"
52,Extracción 46,"['2023/06/02 07:54:43', '269.00']"
52,Extracción 47,"['2023/06/03 02:06:43', '269.00']"
52,Extracción 48,"['2023/06/03 11:54:43', '269.00']"
52,Extracción 49,"['2023/06/03 20:18:43', '269.00']"
52,Extracción 50,"['2023/06/04 14:30:43', '269.00']"
52,Extracción 51,"['2023/06/04 22:54:43', '269.00']"
52,Extracción 52,"['2023/06/05 08:42:43', '269.00']"
52,Extracción 53,"['2023/06/06 02:54:43', '269.00']"
52,Extracción 54,"['2023/06/06 11:18:43', '269.00']"
52,Extracción 55,"['2023/06/06 19:42:43', '269.00']"
52,Extracción 56,"['2023/06/07 13:54:43', '269.00']"
52,Extracción 57,"['2023/06/07 23:42:43', '269.00']"
52,Extracción 58,"['2023/06/08 08:06:43', '269.00']"
52,Extracción 59,"['2023/06/09 02:18:43', '269.00']"
52,Extracción 60,"['2023/06/09 02:18:43', '269.00']"
52,Extracción 61,"['2023/06/09 20:30:43', '269.00']"
52,Extracción 62,"['2023/06/10 04:54:43', '269.00']"
52,Extracción 63,"['2023/06/10 14:42:43', '269.00']"
52,Extracción 64,"['2023/06/11 08:54:43', '269.00']"
52,Extracción 65,"['2023/06/11 17:18:43', '269.00']"
52,Extracción 66,"['2023/06/12 01:42:43', '269.00']"
52,Extracción 67,"['2023/06/12 20:33:51', '279.00']"
52,Extracción 68,"['2023/06/13 04:57:51', '279.00']"
52,Extracción 69,"['2023/06/13 14:45:51', '279.00']"
52,Extracción 70,"['2023/06/14 08:57:51', '279.00']"
52,Extracción 71,"['2023/06/14 17:21:51', '279.00']"
52,Extracción 72,"['2023/06/15 01:45:51', '279.00']"
52,Extracción 73,"['2023/06/15 19:57:51', '279.00']"
52,Extracción 74,"['2023/06/16 05:45:51', '279.00']"
52,Extracción 75,"['2023/06/16 14:09:51', '279.00']"
52,Extracción 76,"['2023/06/17 08:21:51', '279.00']"
52,Extracción 77,"['2023/06/17 16:45:51', '279.00']"
52,Extracción 78,"['2023/06/18 02:33:51', '279.00']"
52,Extracción 79,"['2023/06/18 20:45:51', '279.00']"
52,Extracción 80,"['2023/06/18 20:45:51', '279.00']"
52,Extracción 81,"['2023/06/19 13:48:25', '255.00']"
52,Extracción 82,"['2023/06/19 23:36:25', '255.00']"
52,Extracción 83,"['2023/06/20 08:00:25', '255.00']"
52,Extracción 84,"['2023/06/21 02:12:25', '255.00']"
52,Extracción 85,"['2023/06/21 12:00:25', '255.00']"
52,Extracción 86,"['2023/06/21 20:24:25', '255.00']"
52,Extracción 87,"['2023/06/22 14:36:25', '255.00']"
52,Extracción 88,"['2023/06/22 23:00:25', '255.00']"
52,Extracción 89,"['2023/06/23 08:48:25', '255.00']"
52,Extracción 90,"['2023/06/24 03:00:25', '255.00']"
52,Extracción 91,"['2023/06/24 11:24:25', '255.00']"
52,Extracción 92,"['2023/06/24 19:48:25', '255.00']"
52,Extracción 93,"['2023/06/25 14:00:25', '255.00']"
52,Extracción 94,"['2023/06/25 23:48:25', '255.00']"
52,Extracción 95,"['2023/06/26 08:12:25', '255.00']"
52,Extracción 96,"['2023/06/27 02:16:26', '279.00']"
52,Extracción 97,"['2023/06/27 12:04:26', '279.00']"
52,Extracción 98,"['2023/06/27 20:28:26', '279.00']"
52,Extracción 99,"['2023/06/28 14:40:26', '279.00']"
52,Extracción 100,"['2023/06/28 14:40:26', '279.00']"
52,Extracción 101,"['2023/06/29 08:05:49', '249.00']"
52,Extracción 102,"['2023/06/29 17:53:49', '249.00']"
52,Extracción 103,"['2023/06/30 02:17:49', '249.00']"
52,Extracción 104,"['2023/06/30 20:29:49', '249.00']"
52,Extracción 105,"['2023/07/01 04:53:49', '249.00']"
52,Extracción 106,"['2023/07/01 14:41:49', '249.00']"
52,Extracción 107,"['2023/07/02 08:38:53', '269.00']"
52,Extracción 108,"['2023/07/02 17:02:53', '269.00']"
52,Extracción 109,"['2023/07/03 02:50:53', '269.00']"
52,Extracción 110,"['2023/07/03 20:34:00', '349.00']"
52,Extracción 111,"['2023/07/04 04:58:00', '349.00']"
52,Extracción 112,"['2023/07/04 14:38:35', '269.00']"
52,Extracción 113,"['2023/07/05 08:50:35', '269.00']"
52,Extracción 114,"['2023/07/05 17:14:35', '269.00']"
52,Extracción 115,"['2023/07/06 03:02:35', '269.00']"
52,Extracción 116,"['2023/07/06 20:41:36', '309.00']"
52,Extracción 117,"['2023/07/07 05:05:36', '309.00']"
52,Extracción 118,"['2023/07/07 14:53:36', '309.00']"
52,Extracción 119,"['2023/07/08 09:05:36', '309.00']"
52,Extracción 120,"['2023/07/08 09:05:36', '309.00']"
52,Extracción 121,"['2023/07/09 01:53:36', '309.00']"
52,Extracción 122,"['2023/07/09 11:41:36', '309.00']"
52,Extracción 123,"['2023/07/09 20:05:36', '309.00']"
52,Extracción 124,"['2023/07/10 14:17:36', '309.00']"
52,Extracción 125,"['2023/07/11 00:05:36', '309.00']"
52,Extracción 126,"['2023/07/11 08:29:36', '309.00']"
52,Extracción 127,"['2023/07/12 02:14:59', '309.00']"
52,Extracción 128,"['2023/07/12 12:02:59', '309.00']"
52,Extracción 129,"['2023/07/12 20:26:59', '309.00']"
52,Extracción 130,"['2023/07/13 14:28:39', '279.00']"
52,Extracción 131,"['2023/07/13 23:47:42', '309.00']"
52,Extracción 132,"['2023/07/14 08:11:42', '309.00']"
52,Extracción 133,"['2023/07/15 02:23:42', '309.00']"
52,Extracción 134,"['2023/07/15 12:11:42', '309.00']"
52,Extracción 135,"['2023/07/15 20:35:42', '309.00']"
52,Extracción 136,"['2023/07/16 14:47:42', '309.00']"
52,Extracción 137,"['2023/07/16 23:11:42', '309.00']"
52,Extracción 138,"['2023/07/17 08:59:42', '309.00']"
52,Extracción 139,"['2023/07/18 03:11:42', '309.00']"
52,Extracción 140,"['2023/07/18 03:11:42', '309.00']"
52,Extracción 141,"['2023/07/18 19:59:42', '309.00']"
52,Extracción 142,"['2023/07/19 05:47:42', '309.00']"
52,Extracción 143,"['2023/07/19 14:11:42', '309.00']"
52,Extracción 144,"['2023/07/20 08:23:42', '309.00']"
52,Extracción 145,"['2023/07/20 18:11:42', '309.00']"
52,Extracción 146,"['2023/07/21 02:35:42', '309.00']"
52,Extracción 147,"['2023/07/21 20:47:42', '309.00']"
52,Extracción 148,"['2023/07/22 05:11:42', '309.00']"
52,Extracción 149,"['2023/07/22 14:59:42', '309.00']"
52,Extracción 150,"['2023/07/23 09:11:42', '309.00']"
52,Extracción 151,"['2023/07/23 17:35:42', '309.00']"
52,Extracción 152,"['2023/07/24 01:59:42', '309.00']"
52,Extracción 153,"['2023/07/24 20:11:42', '309.00']"
52,Extracción 154,"['2023/07/25 05:59:42', '309.00']"
52,Extracción 155,"['2023/07/25 14:23:42', '309.00']"
52,Extracción 156,"['2023/07/26 08:35:42', '309.00']"
52,Extracción 157,"['2023/07/26 16:59:42', '309.00']"
52,Extracción 158,"['2023/07/27 02:47:42', '309.00']"
52,Extracción 159,"['2023/07/27 20:59:42', '309.00']"
52,Extracción 160,"['2023/07/27 20:59:42', '309.00']"
52,Extracción 161,"['2023/07/28 15:11:42', '309.00']"
52,Extracción 162,"['2023/07/28 23:35:42', '309.00']"
52,Extracción 163,"['2023/07/29 07:59:42', '309.00']"
52,Extracción 164,"['2023/07/30 02:11:42', '309.00']"
52,Extracción 165,"['2023/07/30 11:59:42', '309.00']"
52,Extracción 166,"['2023/07/30 20:23:42', '309.00']"
52,Extracción 167,"['2023/07/31 14:35:42', '309.00']"
52,Extracción 168,"['2023/07/31 23:56:24', '266.00']"
52,Extracción 169,"['2023/08/01 08:04:38', '249.00']"
52,Extracción 170,"['2023/08/02 02:16:38', '249.00']"
52,Extracción 171,"['2023/08/02 12:04:38', '249.00']"
52,Extracción 172,"['2023/08/02 20:28:38', '249.00']"
