Product ID,N_Extracción,Datos
55,Extracción 102,"['2023/09/29 08:05:18', '279.00']"
55,Extracción 103,"['2023/09/29 10:53:18', '279.00']"
55,Extracción 104,"['2023/09/29 16:29:18', '279.00']"
55,Extracción 105,"['2023/09/29 19:17:18', '279.00']"
55,Extracción 106,"['2023/09/29 22:05:18', '279.00']"
55,Extracción 107,"['2023/09/30 03:41:18', '279.00']"
55,Extracción 108,"['2023/09/30 06:29:18', '279.00']"
55,Extracción 109,"['2023/09/30 09:17:18', '279.00']"
55,Extracción 110,"['2023/09/30 14:53:18', '279.00']"
55,Extracción 111,"['2023/09/30 17:41:18', '279.00']"
55,Extracción 112,"['2023/09/30 20:29:18', '279.00']"
55,Extracción 113,"['2023/10/01 02:05:18', '279.00']"
55,Extracción 114,"['2023/10/01 04:53:18', '279.00']"
55,Extracción 115,"['2023/10/01 07:41:18', '279.00']"
55,Extracción 116,"['2023/10/01 13:17:18', '279.00']"
55,Extracción 117,"['2023/10/01 16:05:18', '279.00']"
55,Extracción 118,"['2023/10/01 18:53:18', '279.00']"
55,Extracción 119,"['2023/10/02 01:53:18', '279.00']"
55,Extracción 120,"['2023/10/02 01:53:18', '279.00']"
55,Extracción 121,"['2023/10/02 07:29:18', '279.00']"
55,Extracción 122,"['2023/10/02 10:17:18', '279.00']"
55,Extracción 123,"['2023/10/02 13:05:18', '279.00']"
55,Extracción 124,"['2023/10/02 18:41:18', '279.00']"
55,Extracción 125,"['2023/10/02 21:29:18', '279.00']"
55,Extracción 126,"['2023/10/03 00:17:18', '279.00']"
55,Extracción 127,"['2023/10/03 05:53:18', '279.00']"
55,Extracción 128,"['2023/10/03 08:41:18', '279.00']"
55,Extracción 129,"['2023/10/03 11:29:18', '279.00']"
55,Extracción 130,"['2023/10/03 17:05:18', '279.00']"
55,Extracción 131,"['2023/10/03 19:53:18', '279.00']"
55,Extracción 132,"['2023/10/03 22:41:18', '279.00']"
55,Extracción 133,"['2023/10/04 04:17:18', '279.00']"
55,Extracción 134,"['2023/10/04 07:05:18', '279.00']"
55,Extracción 135,"['2023/10/04 09:53:18', '279.00']"
55,Extracción 136,"['2023/10/04 15:29:18', '279.00']"
55,Extracción 137,"['2023/10/04 18:17:18', '279.00']"
55,Extracción 138,"['2023/10/04 22:29:18', '279.00']"
55,Extracción 139,"['2023/10/05 04:05:18', '279.00']"
55,Extracción 140,"['2023/10/05 04:05:18', '279.00']"
55,Extracción 141,"['2023/10/05 09:41:18', '279.00']"
55,Extracción 142,"['2023/10/05 12:29:18', '279.00']"
55,Extracción 143,"['2023/10/05 15:17:18', '279.00']"
55,Extracción 144,"['2023/10/05 20:53:18', '279.00']"
55,Extracción 145,"['2023/10/05 23:41:18', '279.00']"
55,Extracción 146,"['2023/10/06 02:29:18', '279.00']"
55,Extracción 147,"['2023/10/06 08:05:18', '279.00']"
55,Extracción 148,"['2023/10/06 10:53:18', '279.00']"
55,Extracción 149,"['2023/10/06 13:41:18', '279.00']"
55,Extracción 150,"['2023/10/06 19:17:18', '279.00']"
55,Extracción 151,"['2023/10/06 22:05:18', '279.00']"
55,Extracción 152,"['2023/10/07 00:53:18', '279.00']"
55,Extracción 153,"['2023/10/07 06:29:18', '279.00']"
55,Extracción 154,"['2023/10/07 09:17:18', '279.00']"
55,Extracción 155,"['2023/10/07 12:05:18', '279.00']"
55,Extracción 156,"['2023/10/07 19:05:18', '279.00']"
55,Extracción 157,"['2023/10/07 21:53:18', '279.00']"
55,Extracción 158,"['2023/10/08 00:41:18', '279.00']"
55,Extracción 159,"['2023/10/08 06:17:18', '279.00']"
55,Extracción 160,"['2023/10/08 06:17:18', '279.00']"
55,Extracción 161,"['2023/10/08 11:53:18', '279.00']"
55,Extracción 162,"['2023/10/08 14:41:18', '279.00']"
55,Extracción 163,"['2023/10/08 17:29:18', '279.00']"
55,Extracción 164,"['2023/10/08 23:05:18', '279.00']"
55,Extracción 165,"['2023/10/09 01:53:18', '279.00']"
55,Extracción 166,"['2023/10/09 04:41:18', '279.00']"
55,Extracción 167,"['2023/10/09 10:17:18', '279.00']"
55,Extracción 168,"['2023/10/09 13:05:18', '279.00']"
55,Extracción 169,"['2023/10/09 15:53:18', '279.00']"
55,Extracción 170,"['2023/10/09 21:29:18', '279.00']"
55,Extracción 171,"['2023/10/10 00:17:18', '279.00']"
55,Extracción 172,"['2023/10/10 03:05:18', '279.00']"
55,Extracción 173,"['2023/10/10 08:41:18', '279.00']"
55,Extracción 174,"['2023/10/10 11:29:18', '279.00']"
55,Extracción 175,"['2023/10/10 14:17:18', '279.00']"
55,Extracción 176,"['2023/10/10 21:17:18', '279.00']"
55,Extracción 177,"['2023/10/11 00:05:18', '279.00']"
55,Extracción 178,"['2023/10/11 02:53:18', '279.00']"
55,Extracción 179,"['2023/10/11 08:29:18', '279.00']"
55,Extracción 180,"['2023/10/11 08:29:18', '279.00']"
55,Extracción 181,"['2023/10/11 14:05:18', '279.00']"
55,Extracción 182,"['2023/10/11 16:53:18', '279.00']"
55,Extracción 183,"['2023/10/11 19:41:18', '279.00']"
55,Extracción 184,"['2023/10/12 01:17:18', '279.00']"
55,Extracción 185,"['2023/10/12 04:05:18', '279.00']"
55,Extracción 186,"['2023/10/12 06:53:18', '279.00']"
55,Extracción 187,"['2023/10/12 12:29:18', '279.00']"
55,Extracción 188,"['2023/10/12 15:17:18', '279.00']"
55,Extracción 189,"['2023/10/12 18:05:18', '279.00']"
55,Extracción 190,"['2023/10/12 23:41:18', '279.00']"
55,Extracción 191,"['2023/10/13 02:29:18', '279.00']"
55,Extracción 192,"['2023/10/13 05:17:18', '279.00']"
55,Extracción 193,"['2023/10/13 10:53:18', '279.00']"
55,Extracción 194,"['2023/10/13 13:41:18', '279.00']"
55,Extracción 195,"['2023/10/13 17:53:18', '279.00']"
55,Extracción 196,"['2023/10/13 23:29:18', '279.00']"
55,Extracción 197,"['2023/10/14 02:17:18', '279.00']"
55,Extracción 198,"['2023/10/14 05:05:18', '279.00']"
55,Extracción 199,"['2023/10/14 10:41:18', '279.00']"
55,Extracción 200,"['2023/10/14 10:41:18', '279.00']"
55,Extracción 201,"['2023/10/14 16:17:18', '279.00']"
55,Extracción 202,"['2023/10/14 19:05:18', '279.00']"
55,Extracción 203,"['2023/10/14 21:53:18', '279.00']"
55,Extracción 204,"['2023/10/15 03:29:18', '279.00']"
