Product ID,N_Extracción,Fecha,Precio
40,Extracción 0,'2023/09/13 14:32:00','449.00'
40,Extracción 1,'2023/09/13 14:32:00','449.00'
40,Extracción 2,'2023/09/13 21:32:00','449.00'
40,Extracción 3,'2023/09/14 00:20:00','449.00'
40,Extracción 4,'2023/09/14 05:56:00','449.00'
40,Extracción 5,'2023/09/14 08:44:00','449.00'
40,Extracción 6,'2023/09/14 11:32:00','449.00'
40,Extracción 7,'2023/09/14 18:32:00','449.00'
40,Extracción 8,'2023/09/14 21:20:00','449.00'
40,Extracción 9,'2023/09/15 00:08:00','449.00'
40,Extracción 10,'2023/09/15 05:44:00','449.00'
40,Extracción 11,'2023/09/15 08:32:00','449.00'
40,Extracción 12,'2023/09/15 12:44:00','449.00'
40,Extracción 13,'2023/09/15 18:20:00','449.00'
40,Extracción 14,'2023/09/15 21:08:00','449.00'
40,Extracción 15,'2023/09/15 23:56:00','449.00'
40,Extracción 16,'2023/09/16 05:32:00','449.00'
40,Extracción 17,'2023/09/16 09:44:00','449.00'
40,Extracción 18,'2023/09/16 12:32:00','449.00'
40,Extracción 19,'2023/09/16 18:08:00','449.00'
40,Extracción 20,'2023/09/16 18:08:00','449.00'
40,Extracción 21,'2023/09/16 23:44:00','449.00'
40,Extracción 22,'2023/09/17 02:32:00','449.00'
40,Extracción 23,'2023/09/17 06:44:00','449.00'
40,Extracción 24,'2023/09/17 12:20:00','449.00'
40,Extracción 25,'2023/09/17 15:08:00','449.00'
40,Extracción 26,'2023/09/17 17:56:00','449.00'
40,Extracción 27,'2023/09/17 23:32:00','449.00'
40,Extracción 28,'2023/09/18 03:44:00','449.00'
40,Extracción 29,'2023/09/18 06:32:00','449.00'
40,Extracción 30,'2023/09/18 12:08:00','449.00'
40,Extracción 31,'2023/09/18 14:56:00','449.00'
40,Extracción 32,'2023/09/18 17:44:00','449.00'
40,Extracción 33,'2023/09/19 00:44:00','449.00'
40,Extracción 34,'2023/09/19 03:32:00','449.00'
40,Extracción 35,'2023/09/19 06:20:00','449.00'
40,Extracción 36,'2023/09/19 11:56:00','449.00'
40,Extracción 37,'2023/09/19 14:44:00','449.00'
40,Extracción 38,'2023/09/19 18:56:00','449.00'
40,Extracción 39,'2023/09/20 00:32:00','449.00'
