Product ID,N_Extracción,Fecha,Precio
30,Extracción 113,'2023/07/09 07:11:29','139.00'
30,Extracción 114,'2023/07/09 16:59:29','139.00'
30,Extracción 115,'2023/07/10 01:23:29','139.00'
30,Extracción 116,'2023/07/10 19:35:29','139.00'
30,Extracción 117,'2023/07/11 03:59:29','139.00'
30,Extracción 118,'2023/07/11 13:47:29','139.00'
30,Extracción 119,'2023/07/12 07:59:29','139.00'
30,Extracción 120,'2023/07/12 07:59:29','139.00'
30,Extracción 121,'2023/07/13 01:26:07','124.00'
30,Extracción 122,'2023/07/13 11:14:07','124.00'
30,Extracción 123,'2023/07/13 19:55:06','139.00'
30,Extracción 124,'2023/07/14 14:07:06','139.00'
30,Extracción 125,'2023/07/14 22:31:06','139.00'
30,Extracción 126,'2023/07/15 08:19:06','139.00'
30,Extracción 127,'2023/07/16 01:07:06','139.00'
30,Extracción 128,'2023/07/16 10:55:06','139.00'
30,Extracción 129,'2023/07/16 19:19:06','139.00'
30,Extracción 130,'2023/07/17 13:31:06','139.00'
30,Extracción 131,'2023/07/17 23:19:06','139.00'
30,Extracción 132,'2023/07/18 07:43:06','139.00'
30,Extracción 133,'2023/07/19 01:55:06','139.00'
30,Extracción 134,'2023/07/19 10:19:06','139.00'
30,Extracción 135,'2023/07/19 20:07:06','139.00'
30,Extracción 136,'2023/07/20 14:19:06','139.00'
30,Extracción 137,'2023/07/20 22:43:06','139.00'
30,Extracción 138,'2023/07/21 07:07:06','139.00'
30,Extracción 139,'2023/07/22 01:19:06','139.00'
30,Extracción 140,'2023/07/22 01:19:06','139.00'
30,Extracción 141,'2023/07/22 19:31:06','139.00'
30,Extracción 142,'2023/07/23 05:19:06','139.00'
30,Extracción 143,'2023/07/23 13:43:06','139.00'
30,Extracción 144,'2023/07/24 07:55:06','139.00'
30,Extracción 145,'2023/07/24 16:19:06','139.00'
30,Extracción 146,'2023/07/25 02:07:06','139.00'
30,Extracción 147,'2023/07/25 20:19:06','139.00'
30,Extracción 148,'2023/07/26 04:43:06','139.00'
30,Extracción 149,'2023/07/26 13:07:06','139.00'
30,Extracción 150,'2023/07/27 07:19:06','139.00'
30,Extracción 151,'2023/07/27 16:47:29','135.00'
30,Extracción 152,'2023/07/28 01:11:29','135.00'
30,Extracción 153,'2023/07/28 19:23:29','135.00'
30,Extracción 154,'2023/07/29 05:11:29','135.00'
30,Extracción 155,'2023/07/29 13:35:29','135.00'
30,Extracción 156,'2023/07/30 07:47:29','135.00'
30,Extracción 157,'2023/07/30 16:11:29','135.00'
30,Extracción 158,'2023/07/31 01:59:29','135.00'
30,Extracción 159,'2023/07/31 20:11:29','135.00'
30,Extracción 160,'2023/07/31 20:11:29','135.00'
30,Extracción 161,'2023/08/01 14:23:29','135.00'
30,Extracción 162,'2023/08/01 22:47:29','135.00'
30,Extracción 163,'2023/08/02 07:11:29','135.00'
30,Extracción 164,'2023/08/03 01:23:29','135.00'
30,Extracción 165,'2023/08/03 11:11:29','135.00'
30,Extracción 166,'2023/08/03 19:35:29','135.00'
30,Extracción 167,'2023/08/04 13:47:29','135.00'
30,Extracción 168,'2023/08/04 22:11:29','135.00'
30,Extracción 169,'2023/08/05 07:59:29','135.00'
30,Extracción 170,'2023/08/06 02:11:29','135.00'
30,Extracción 171,'2023/08/06 10:35:29','135.00'
30,Extracción 172,'2023/08/06 20:23:29','135.00'
30,Extracción 173,'2023/08/07 13:11:29','135.00'
30,Extracción 174,'2023/08/07 22:59:29','135.00'
30,Extracción 175,'2023/08/08 07:23:29','135.00'
30,Extracción 176,'2023/08/09 01:35:29','135.00'
30,Extracción 177,'2023/08/09 11:23:29','135.00'
30,Extracción 178,'2023/08/09 19:47:29','135.00'
30,Extracción 179,'2023/08/10 13:59:29','135.00'
30,Extracción 180,'2023/08/10 13:59:29','135.00'
30,Extracción 181,'2023/08/11 08:11:29','135.00'
30,Extracción 182,'2023/08/11 16:35:29','135.00'
30,Extracción 183,'2023/08/12 02:23:29','135.00'
30,Extracción 184,'2023/08/12 19:11:29','135.00'
30,Extracción 185,'2023/08/13 04:59:29','135.00'
30,Extracción 186,'2023/08/13 13:23:29','135.00'
30,Extracción 187,'2023/08/14 07:35:29','135.00'
30,Extracción 188,'2023/08/14 17:23:29','135.00'
30,Extracción 189,'2023/08/15 01:47:29','135.00'
30,Extracción 190,'2023/08/15 19:59:29','135.00'
30,Extracción 191,'2023/08/16 04:23:29','135.00'
30,Extracción 192,'2023/08/16 14:11:29','135.00'
30,Extracción 193,'2023/08/17 08:23:29','135.00'
30,Extracción 194,'2023/08/17 16:47:29','135.00'
30,Extracción 195,'2023/08/18 01:11:29','135.00'
30,Extracción 196,'2023/08/18 19:23:29','135.00'
30,Extracción 197,'2023/08/19 05:11:29','135.00'
30,Extracción 198,'2023/08/19 13:35:29','135.00'
30,Extracción 199,'2023/08/20 07:47:29','135.00'
30,Extracción 200,'2023/08/20 07:47:29','135.00'
30,Extracción 201,'2023/08/21 01:59:29','135.00'
30,Extracción 202,'2023/08/21 10:23:29','135.00'
30,Extracción 203,'2023/08/21 20:11:29','135.00'
30,Extracción 204,'2023/08/22 14:23:29','135.00'
30,Extracción 205,'2023/08/22 22:47:29','135.00'
30,Extracción 206,'2023/08/23 07:11:29','135.00'
30,Extracción 207,'2023/08/24 01:23:29','135.00'
30,Extracción 208,'2023/08/24 11:11:29','135.00'
30,Extracción 209,'2023/08/24 19:35:29','135.00'
30,Extracción 210,'2023/08/25 13:47:29','135.00'
30,Extracción 211,'2023/08/25 22:11:29','135.00'
30,Extracción 212,'2023/08/26 07:59:29','135.00'
30,Extracción 213,'2023/08/27 02:11:29','135.00'
30,Extracción 214,'2023/08/27 10:35:29','135.00'
30,Extracción 215,'2023/08/27 20:29:06','111.57'
30,Extracción 216,'2023/08/28 13:17:06','111.57'
30,Extracción 217,'2023/08/28 23:05:06','111.57'
30,Extracción 218,'2023/08/29 07:29:06','111.57'
30,Extracción 219,'2023/08/30 01:47:29','135.00'
30,Extracción 220,'2023/08/30 01:47:29','135.00'
30,Extracción 221,'2023/08/30 19:59:29','135.00'
30,Extracción 222,'2023/08/31 04:23:29','135.00'
30,Extracción 223,'2023/08/31 14:11:29','135.00'
30,Extracción 224,'2023/09/01 08:31:44','135.00'
30,Extracción 225,'2023/09/01 16:55:44','135.00'
30,Extracción 226,'2023/09/02 01:19:44','135.00'
30,Extracción 227,'2023/09/02 19:31:44','135.00'
30,Extracción 228,'2023/09/03 05:19:44','135.00'
30,Extracción 229,'2023/09/03 13:43:44','135.00'
30,Extracción 230,'2023/09/04 07:55:44','135.00'
30,Extracción 231,'2023/09/04 16:19:44','135.00'
30,Extracción 232,'2023/09/05 02:07:44','135.00'
30,Extracción 233,'2023/09/05 20:19:44','135.00'
30,Extracción 234,'2023/09/06 04:43:44','135.00'
30,Extracción 235,'2023/09/06 14:31:44','135.00'
30,Extracción 236,'2023/09/07 07:19:44','135.00'
30,Extracción 237,'2023/09/07 17:07:44','135.00'
