Product ID,N_Extracción,Fecha,Precio
22,Extracción 0,'2023/05/15 04:02:42','48.99'
22,Extracción 1,'2023/05/15 04:02:42','48.99'
22,Extracción 2,'2023/05/15 22:14:42','48.99'
22,Extracción 3,'2023/05/16 08:02:42','48.99'
22,Extracción 4,0,0
22,Extracción 5,'2023/05/17 09:59:35','41.64'
22,Extracción 6,0,0
22,Extracción 7,'2023/05/18 12:59:22','48.99'
22,Extracción 8,'2023/05/18 22:47:22','48.99'
22,Extracción 9,'2023/05/19 07:11:22','48.99'
22,Extracción 10,'2023/05/20 01:23:22','48.99'
22,Extracción 11,'2023/05/20 11:11:22','48.99'
22,Extracción 12,'2023/05/20 19:35:22','48.99'
22,Extracción 13,'2023/05/21 13:47:22','48.99'
22,Extracción 14,'2023/05/21 22:11:22','48.99'
22,Extracción 15,'2023/05/22 07:59:22','48.99'
22,Extracción 16,'2023/05/23 02:11:22','48.99'
22,Extracción 17,'2023/05/23 10:35:22','48.99'
22,Extracción 18,'2023/05/23 20:23:22','48.99'
22,Extracción 19,'2023/05/24 14:21:47','35.99'
22,Extracción 20,'2023/05/24 14:21:47','35.99'
22,Extracción 21,'2023/05/25 07:09:47','35.99'
22,Extracción 22,'2023/05/25 16:57:47','35.99'
22,Extracción 23,'2023/05/26 01:21:47','35.99'
22,Extracción 24,'2023/05/26 19:33:47','35.99'
22,Extracción 25,'2023/05/27 05:21:47','35.99'
22,Extracción 26,'2023/05/27 13:45:47','35.99'
22,Extracción 27,'2023/05/28 07:21:39','48.99'
22,Extracción 28,'2023/05/28 16:41:42','41.99'
22,Extracción 29,0,0
22,Extracción 30,'2023/05/29 19:10:47','34.70'
22,Extracción 31,'2023/05/30 04:58:47','34.70'
22,Extracción 32,0,0
22,Extracción 33,'2023/05/31 07:29:48','35.99'
22,Extracción 34,'2023/05/31 17:17:48','35.99'
22,Extracción 35,'2023/06/01 01:41:48','35.99'
22,Extracción 36,'2023/06/01 19:53:48','35.99'
22,Extracción 37,'2023/06/02 04:17:48','35.99'
22,Extracción 38,'2023/06/02 14:05:48','35.99'
22,Extracción 39,'2023/06/03 08:17:48','35.99'
22,Extracción 40,'2023/06/03 08:17:48','35.99'
22,Extracción 41,'2023/06/04 01:05:48','35.99'
22,Extracción 42,'2023/06/04 10:53:48','35.99'
22,Extracción 43,'2023/06/04 19:17:48','35.99'
22,Extracción 44,'2023/06/05 13:29:48','35.99'
22,Extracción 45,'2023/06/05 23:17:48','35.99'
22,Extracción 46,'2023/06/06 07:41:48','35.99'
22,Extracción 47,'2023/06/07 01:58:36','48.99'
22,Extracción 48,'2023/06/07 10:22:36','48.99'
22,Extracción 49,'2023/06/07 20:10:36','48.99'
22,Extracción 50,'2023/06/08 14:22:36','48.99'
22,Extracción 51,'2023/06/08 22:46:36','48.99'
22,Extracción 52,'2023/06/09 07:10:36','48.99'
22,Extracción 53,'2023/06/10 01:22:36','48.99'
22,Extracción 54,'2023/06/10 11:10:36','48.99'
22,Extracción 55,'2023/06/10 19:34:36','48.99'
22,Extracción 56,'2023/06/11 13:46:36','48.99'
22,Extracción 57,'2023/06/11 22:10:36','48.99'
22,Extracción 58,'2023/06/12 07:58:36','48.99'
22,Extracción 59,'2023/06/13 02:10:36','48.99'
22,Extracción 60,'2023/06/13 02:10:36','48.99'
22,Extracción 61,'2023/06/13 20:22:36','48.99'
22,Extracción 62,'2023/06/14 04:46:36','48.99'
22,Extracción 63,'2023/06/14 13:10:36','48.99'
22,Extracción 64,'2023/06/15 07:22:36','48.99'
22,Extracción 65,'2023/06/15 17:10:36','48.99'
22,Extracción 66,'2023/06/16 01:34:36','48.99'
22,Extracción 67,'2023/06/16 19:46:36','48.99'
22,Extracción 68,'2023/06/17 04:10:36','48.99'
22,Extracción 69,'2023/06/17 13:58:36','48.99'
22,Extracción 70,'2023/06/18 08:10:36','48.99'
22,Extracción 71,'2023/06/18 16:34:36','48.99'
22,Extracción 72,'2023/06/19 02:22:36','48.99'
22,Extracción 73,'2023/06/19 19:10:36','48.99'
22,Extracción 74,'2023/06/20 04:58:36','48.99'
22,Extracción 75,'2023/06/20 13:22:36','48.99'
22,Extracción 76,'2023/06/21 07:34:36','48.99'
22,Extracción 77,'2023/06/21 17:22:36','48.99'
22,Extracción 78,'2023/06/22 01:46:36','48.99'
22,Extracción 79,'2023/06/22 19:58:36','48.99'
22,Extracción 80,'2023/06/22 19:58:36','48.99'
22,Extracción 81,'2023/06/23 14:10:36','48.99'
22,Extracción 82,'2023/06/23 22:34:36','48.99'
22,Extracción 83,'2023/06/24 08:22:36','48.99'
22,Extracción 84,'2023/06/25 01:10:36','48.99'
22,Extracción 85,'2023/06/25 10:58:36','48.99'
22,Extracción 86,'2023/06/25 19:22:36','48.99'
22,Extracción 87,'2023/06/26 13:34:36','48.99'
22,Extracción 88,'2023/06/26 23:22:36','48.99'
22,Extracción 89,'2023/06/27 07:46:36','48.99'
22,Extracción 90,'2023/06/28 01:58:36','48.99'
22,Extracción 91,'2023/06/28 10:22:36','48.99'
