Product ID,N_Extracción,Fecha,Precio
19,Extracción 0,'2023/11/08 17:56:37','629.00'
19,Extracción 1,'2023/11/08 17:56:37','629.00'
19,Extracción 2,'2023/11/08 18:26:07','629.00'
19,Extracción 3,'2023/11/08 18:35:57','629.00'
19,Extracción 4,'2023/11/08 19:05:27','629.00'
19,Extracción 5,'2023/11/08 19:15:17','629.00'
19,Extracción 6,'2023/11/08 19:34:57','629.00'
19,Extracción 7,'2023/11/08 19:54:38','629.00'
19,Extracción 8,'2023/11/08 20:14:18','629.00'
19,Extracción 9,'2023/11/08 20:24:08','629.00'
19,Extracción 10,'2023/11/08 20:53:38','629.00'
19,Extracción 11,'2023/11/08 21:03:28','629.00'
19,Extracción 12,'2023/11/08 21:23:08','629.00'
19,Extracción 13,'2023/11/08 21:52:39','629.00'
19,Extracción 14,'2023/11/08 22:02:29','629.00'
19,Extracción 15,'2023/11/08 22:12:19','629.00'
19,Extracción 16,'2023/11/08 22:41:49','629.00'
19,Extracción 17,'2023/11/08 23:01:29','629.00'
19,Extracción 18,'2023/11/08 23:11:19','629.00'
19,Extracción 19,'2023/11/08 23:40:49','629.00'
19,Extracción 20,'2023/11/08 23:40:49','629.00'
19,Extracción 21,'2023/11/09 00:10:20','629.00'
19,Extracción 22,'2023/11/09 00:20:10','629.00'
19,Extracción 23,'2023/11/09 00:30:00','629.00'
19,Extracción 24,'2023/11/09 00:59:30','629.00'
19,Extracción 25,'2023/11/09 01:19:10','629.00'
19,Extracción 26,'2023/11/09 01:29:00','629.00'
19,Extracción 27,'2023/11/09 01:58:30','629.00'
19,Extracción 28,'2023/11/09 02:08:20','629.00'
19,Extracción 29,'2023/11/09 02:28:01','629.00'
19,Extracción 30,'2023/11/09 02:47:41','629.00'
19,Extracción 31,'2023/11/09 03:07:21','629.00'
19,Extracción 32,'2023/11/09 03:17:11','629.00'
19,Extracción 33,'2023/11/09 03:46:41','629.00'
19,Extracción 34,'2023/11/09 03:56:31','629.00'
19,Extracción 35,'2023/11/09 04:16:11','629.00'
19,Extracción 36,'2023/11/09 04:45:42','629.00'
19,Extracción 37,'2023/11/09 04:55:32','629.00'
19,Extracción 38,'2023/11/09 05:05:22','629.00'
19,Extracción 39,'2023/11/09 05:34:52','629.00'
19,Extracción 40,'2023/11/09 05:34:52','629.00'
19,Extracción 41,'2023/11/09 06:04:22','629.00'
19,Extracción 42,'2023/11/09 06:14:12','629.00'
19,Extracción 43,'2023/11/09 06:33:53','629.00'
19,Extracción 44,'2023/11/09 07:03:23','629.00'
19,Extracción 45,'2023/11/09 07:13:13','629.00'
19,Extracción 46,'2023/11/09 07:23:03','629.00'
19,Extracción 47,'2023/11/09 07:52:33','629.00'
19,Extracción 48,'2023/11/09 08:12:13','629.00'
19,Extracción 49,'2023/11/09 08:22:03','629.00'
19,Extracción 50,'2023/11/09 08:51:34','629.00'
19,Extracción 51,'2023/11/09 09:01:24','629.00'
19,Extracción 52,'2023/11/09 09:21:04','629.00'
19,Extracción 53,'2023/11/09 09:40:44','629.00'
19,Extracción 54,'2023/11/09 10:00:24','629.00'
19,Extracción 55,'2023/11/09 10:10:14','629.00'
19,Extracción 56,'2023/11/09 10:39:44','629.00'
19,Extracción 57,'2023/11/09 10:49:34','629.00'
19,Extracción 58,'2023/11/09 11:09:15','629.00'
19,Extracción 59,'2023/11/09 11:38:45','629.00'
19,Extracción 60,'2023/11/09 11:38:45','629.00'
19,Extracción 61,'2023/11/09 11:58:25','629.00'
19,Extracción 62,'2023/11/09 12:18:05','629.00'
19,Extracción 63,'2023/11/09 12:27:55','629.00'
19,Extracción 64,'2023/11/09 12:57:25','629.00'
19,Extracción 65,'2023/11/09 13:07:16','629.00'
19,Extracción 66,'2023/11/09 13:26:56','629.00'
19,Extracción 67,'2023/11/09 13:56:26','629.00'
19,Extracción 68,'2023/11/09 14:06:16','629.00'
19,Extracción 69,'2023/11/09 14:16:06','629.00'
19,Extracción 70,'2023/11/09 14:45:36','629.00'
19,Extracción 71,'2023/11/09 15:05:16','629.00'
19,Extracción 72,'2023/11/09 15:15:06','629.00'
19,Extracción 73,'2023/11/09 15:44:37','629.00'
19,Extracción 74,'2023/11/09 15:54:27','629.00'
19,Extracción 75,'2023/11/09 16:14:07','629.00'
19,Extracción 76,'2023/11/09 16:33:47','629.00'
19,Extracción 77,'2023/11/09 16:53:27','629.00'
19,Extracción 78,'2023/11/09 17:03:17','629.00'
19,Extracción 79,'2023/11/09 17:32:48','629.00'
19,Extracción 80,'2023/11/09 17:32:48','629.00'
19,Extracción 81,'2023/11/09 18:02:18','629.00'
19,Extracción 82,'2023/11/09 18:12:08','629.00'
19,Extracción 83,'2023/11/09 18:31:48','629.00'
19,Extracción 84,'2023/11/09 18:51:28','629.00'
19,Extracción 85,'2023/11/09 19:11:08','629.00'
19,Extracción 86,'2023/11/09 19:20:58','629.00'
19,Extracción 87,'2023/11/09 19:50:29','629.00'
19,Extracción 88,'2023/11/09 20:00:19','629.00'
19,Extracción 89,'2023/11/09 20:19:59','629.00'
19,Extracción 90,'2023/11/09 20:49:29','629.00'
19,Extracción 91,'2023/11/09 20:59:19','629.00'
19,Extracción 92,'2023/11/09 21:09:09','629.00'
19,Extracción 93,'2023/11/09 21:38:39','629.00'
19,Extracción 94,'2023/11/09 21:58:20','629.00'
19,Extracción 95,'2023/11/09 22:08:10','629.00'
19,Extracción 96,'2023/11/09 22:37:40','629.00'
19,Extracción 97,'2023/11/09 22:47:30','629.00'
19,Extracción 98,'2023/11/09 23:07:10','629.00'
19,Extracción 99,'2023/11/09 23:26:50','629.00'
19,Extracción 100,'2023/11/09 23:26:50','629.00'
19,Extracción 101,'2023/11/09 23:56:20','629.00'
19,Extracción 102,'2023/11/10 00:06:11','629.00'
19,Extracción 103,'2023/11/10 00:25:51','629.00'
19,Extracción 104,'2023/11/10 00:55:21','629.00'
19,Extracción 105,'2023/11/10 01:05:11','629.00'
19,Extracción 106,'2023/11/10 01:15:01','629.00'
19,Extracción 107,'2023/11/10 01:44:31','629.00'
19,Extracción 108,'2023/11/10 02:04:11','629.00'
19,Extracción 109,'2023/11/10 02:14:02','629.00'
19,Extracción 110,'2023/11/10 02:43:32','629.00'
19,Extracción 111,'2023/11/10 02:53:22','629.00'
19,Extracción 112,'2023/11/10 03:13:02','629.00'
19,Extracción 113,'2023/11/10 03:32:42','629.00'
19,Extracción 114,'2023/11/10 03:52:22','629.00'
19,Extracción 115,'2023/11/10 04:02:12','629.00'
19,Extracción 116,'2023/11/10 04:31:43','629.00'
19,Extracción 117,'2023/11/10 04:41:33','629.00'
19,Extracción 118,'2023/11/10 05:01:13','629.00'
19,Extracción 119,'2023/11/10 05:30:43','629.00'
19,Extracción 120,'2023/11/10 05:30:43','629.00'
19,Extracción 121,'2023/11/10 05:50:23','629.00'
19,Extracción 122,'2023/11/10 06:10:03','629.00'
19,Extracción 123,'2023/11/10 06:19:53','629.00'
19,Extracción 124,'2023/11/10 06:49:24','629.00'
19,Extracción 125,'2023/11/10 06:59:14','629.00'
19,Extracción 126,'2023/11/10 07:18:54','629.00'
19,Extracción 127,'2023/11/10 07:48:24','629.00'
19,Extracción 128,'2023/11/10 07:58:14','629.00'
19,Extracción 129,'2023/11/10 08:08:04','629.00'
19,Extracción 130,'2023/11/10 08:37:34','629.00'
19,Extracción 131,'2023/11/10 08:57:15','499.00'
19,Extracción 132,'2023/11/10 09:07:05','499.00'
19,Extracción 133,'2023/11/10 09:36:35','499.00'
19,Extracción 134,'2023/11/10 09:46:25','499.00'
19,Extracción 135,'2023/11/10 10:06:05','499.00'
19,Extracción 136,'2023/11/10 10:25:45','499.00'
19,Extracción 137,'2023/11/10 10:45:25','499.00'
19,Extracción 138,'2023/11/10 10:55:15','499.00'
19,Extracción 139,'2023/11/10 11:24:46','499.00'
19,Extracción 140,'2023/11/10 11:24:46','499.00'
19,Extracción 141,'2023/11/10 11:54:16','499.00'
19,Extracción 142,'2023/11/10 12:04:06','499.00'
19,Extracción 143,'2023/11/10 12:23:46','499.00'
19,Extracción 144,'2023/11/10 12:43:26','499.00'
19,Extracción 145,'2023/11/10 13:03:06','499.00'
19,Extracción 146,'2023/11/10 13:12:57','499.00'
19,Extracción 147,'2023/11/10 13:42:27','499.00'
19,Extracción 148,'2023/11/10 13:52:17','499.00'
19,Extracción 149,'2023/11/10 14:11:57','499.00'
19,Extracción 150,'2023/11/10 14:41:27','499.00'
19,Extracción 151,'2023/11/10 14:51:17','499.00'
19,Extracción 152,'2023/11/10 15:01:07','499.00'
19,Extracción 153,'2023/11/10 15:30:38','499.00'
19,Extracción 154,'2023/11/10 15:50:18','499.00'
19,Extracción 155,'2023/11/10 16:00:08','499.00'
19,Extracción 156,'2023/11/10 16:29:38','499.00'
19,Extracción 157,'2023/11/10 16:39:28','499.00'
19,Extracción 158,'2023/11/10 16:59:08','499.00'
19,Extracción 159,'2023/11/10 17:18:48','499.00'
19,Extracción 160,'2023/11/10 17:18:48','499.00'
19,Extracción 161,'2023/11/10 17:48:19','499.00'
19,Extracción 162,'2023/11/10 18:07:59','499.00'
19,Extracción 163,'2023/11/10 18:17:49','499.00'
19,Extracción 164,'2023/11/10 18:47:19','499.00'
19,Extracción 165,'2023/11/10 18:57:09','499.00'
19,Extracción 166,'2023/11/10 19:16:49','499.00'
19,Extracción 167,'2023/11/10 19:36:29','499.00'
19,Extracción 168,'2023/11/10 19:56:10','499.00'
19,Extracción 169,'2023/11/10 20:06:00','499.00'
19,Extracción 170,'2023/11/10 20:35:30','499.00'
19,Extracción 171,'2023/11/10 20:45:20','499.00'
19,Extracción 172,'2023/11/10 21:05:00','499.00'
19,Extracción 173,'2023/11/10 21:34:30','499.00'
19,Extracción 174,'2023/11/10 21:44:20','499.00'
19,Extracción 175,'2023/11/10 21:54:11','499.00'
19,Extracción 176,'2023/11/10 22:23:41','499.00'
19,Extracción 177,'2023/11/10 22:43:21','499.00'
19,Extracción 178,'2023/11/10 22:53:11','499.00'
19,Extracción 179,'2023/11/10 23:22:41','499.00'
19,Extracción 180,'2023/11/10 23:22:41','499.00'
19,Extracción 181,'2023/11/10 23:52:11','499.00'
19,Extracción 182,'2023/11/11 00:02:01','499.00'
19,Extracción 183,'2023/11/11 00:11:52','499.00'
