Product ID,N_Extracción,Fecha,Precio
42,Extracción 0,'2023/07/12 04:17:46','99.00'
42,Extracción 1,'2023/07/12 04:17:46','99.00'
42,Extracción 2,'2023/07/12 16:53:46','99.00'
42,Extracción 3,'2023/07/12 22:29:46','99.00'
42,Extracción 4,'2023/07/13 11:05:46','99.00'
42,Extracción 5,'2023/07/13 16:41:46','99.00'
42,Extracción 6,'2023/07/13 22:17:46','99.00'
42,Extracción 7,'2023/07/14 10:53:46','99.00'
42,Extracción 8,'2023/07/14 17:53:46','99.00'
42,Extracción 9,'2023/07/14 23:29:46','99.00'
42,Extracción 10,'2023/07/15 12:05:46','99.00'
42,Extracción 11,'2023/07/15 17:41:46','99.00'
42,Extracción 12,'2023/07/16 00:41:46','99.00'
42,Extracción 13,'2023/07/16 11:53:46','99.00'
42,Extracción 14,'2023/07/16 18:53:46','99.00'
42,Extracción 15,'2023/07/17 00:29:46','99.00'
42,Extracción 16,'2023/07/17 13:05:46','99.00'
42,Extracción 17,'2023/07/17 18:41:46','99.00'
42,Extracción 18,'2023/07/18 01:41:46','99.00'
42,Extracción 19,'2023/07/18 12:53:46','99.00'
42,Extracción 20,'2023/07/18 12:53:46','99.00'
42,Extracción 21,'2023/07/19 01:29:46','99.00'
42,Extracción 22,'2023/07/19 08:29:46','99.00'
42,Extracción 23,'2023/07/19 14:05:46','99.00'
42,Extracción 24,'2023/07/20 02:41:46','99.00'
42,Extracción 25,'2023/07/20 08:17:46','99.00'
42,Extracción 26,'2023/07/20 15:17:46','99.00'
42,Extracción 27,'2023/07/21 02:29:46','99.00'
42,Extracción 28,'2023/07/21 09:29:46','99.00'
42,Extracción 29,'2023/07/21 15:05:46','99.00'
42,Extracción 30,'2023/07/22 03:41:46','99.00'
42,Extracción 31,'2023/07/22 09:17:46','99.00'
42,Extracción 32,'2023/07/22 16:17:46','99.00'
42,Extracción 33,'2023/07/23 03:29:46','99.00'
42,Extracción 34,'2023/07/23 10:29:46','99.00'
42,Extracción 35,'2023/07/23 16:05:46','99.00'
42,Extracción 36,'2023/07/24 04:41:46','99.00'
42,Extracción 37,'2023/07/24 10:17:46','99.00'
42,Extracción 38,'2023/07/24 17:17:46','99.00'
42,Extracción 39,'2023/07/25 05:53:46','99.00'
42,Extracción 40,'2023/07/25 05:53:46','99.00'
42,Extracción 41,'2023/07/25 17:05:46','99.00'
42,Extracción 42,'2023/07/26 00:05:46','99.00'
42,Extracción 43,'2023/07/26 05:41:46','99.00'
42,Extracción 44,'2023/07/26 18:17:46','99.00'
42,Extracción 45,'2023/07/26 23:53:46','99.00'
42,Extracción 46,'2023/07/27 06:53:46','99.00'
42,Extracción 47,'2023/07/27 18:05:46','99.00'
42,Extracción 48,'2023/07/28 01:05:46','99.00'
42,Extracción 49,'2023/07/28 06:41:46','99.00'
42,Extracción 50,'2023/07/28 19:17:46','99.00'
42,Extracción 51,'2023/07/29 00:53:46','99.00'
42,Extracción 52,'2023/07/29 07:53:46','99.00'
42,Extracción 53,'2023/07/29 19:05:46','99.00'
42,Extracción 54,'2023/07/30 02:05:46','99.00'
