N_Extracción,Product ID,Fecha,Precio
Extracción 0,89,2023-05-07, '164'
Extracción 1,89,2023-05-07, '164'
Extracción 2,89,2023-05-08, '164.99'
Extracción 3,89,2023-05-08, '164.99'
Extracción 4,89,2023-05-09, '164'
Extracción 5,89,2023-05-09, '164.99'
Extracción 6,89,2023-05-10, '164.99'
Extracción 7,89,2023-05-10, '164'
Extracción 8,89,2023-05-11, '164.99'
Extracción 9,89,2023-05-11, '164.99'
Extracción 10,89,2023-05-12, '164'
Extracción 11,89,2023-05-12, '164'
Extracción 12,89,2023-05-13, '164.99'
Extracción 13,89,2023-05-13, '164'
Extracción 14,89,2023-05-14, '164.99'
Extracción 15,89,2023-05-14, '164.99'
Extracción 16,89,2023-05-15, '169'
Extracción 17,89,2023-05-15, '169.99'
Extracción 18,89,2023-05-16, '169.99'
Extracción 19,89,2023-05-16, '169'
Extracción 20,89,2023-05-17, '169.99'
Extracción 21,89,2023-05-17, '169'
Extracción 22,89,2023-05-18, '169.99'
Extracción 23,89,2023-05-18, '169.99'
Extracción 24,89,2023-05-19, '169'
Extracción 25,89,2023-05-19, '169.99'
Extracción 26,89,2023-05-20, '169.99'
Extracción 27,89,2023-05-20, '169'
Extracción 28,89,2023-05-21, '169.99'
Extracción 29,89,2023-05-21, '169.99'
Extracción 30,89,2023-05-22, '169'
Extracción 31,89,2023-05-22, '169.99'
Extracción 32,89,2023-05-23, '169.99'
Extracción 33,89,2023-05-23, '169'
Extracción 34,89,2023-05-24, '169.99'
Extracción 35,89,2023-05-24, '169.99'
Extracción 36,89,2023-05-25, '169'
Extracción 37,89,2023-05-25, '169.99'
Extracción 38,89,2023-05-26, '169.99'
Extracción 39,89,2023-05-26, '169'
Extracción 40,89,2023-05-27, '169.99'
Extracción 41,89,2023-05-27, '169'
Extracción 42,89,2023-05-28, '169.99'
Extracción 43,89,2023-05-28, '169.99'
Extracción 44,89,2023-05-29, '169'
Extracción 45,89,2023-05-29, '169.99'
Extracción 46,89,2023-05-30, '169.99'
Extracción 47,89,2023-05-30, '169'
Extracción 48,89,2023-05-31, '169.99'
Extracción 49,89,2023-05-31, '169.99'
Extracción 50,89,2023-06-01, '169'
Extracción 51,89,2023-06-01, '169.99'
Extracción 52,89,2023-06-02, '169.99'
Extracción 53,89,2023-06-02, '169'
Extracción 54,89,2023-06-03, '169.99'
Extracción 55,89,2023-06-03, '169.99'
Extracción 56,89,2023-06-04, '169'
Extracción 57,89,2023-06-04, '169.99'
Extracción 58,89,2023-06-05, '169.99'
Extracción 59,89,2023-06-05, '169'
Extracción 60,89,2023-06-06, '169.99'
Extracción 61,89,2023-06-06, '169'
Extracción 62,89,2023-06-07, '169.99'
Extracción 63,89,2023-06-07, '169.99'
Extracción 64,89,2023-06-08, '169'
Extracción 65,89,2023-06-08, '169.99'
Extracción 66,89,2023-06-09, '169.99'
Extracción 67,89,2023-06-09, '169'
Extracción 68,89,2023-06-10, '169.99'
Extracción 69,89,2023-06-10, '169.99'
Extracción 70,89,2023-06-11, '169'
Extracción 71,89,2023-06-11, '169.99'
Extracción 72,89,2023-06-12, '169.99'
Extracción 73,89,2023-06-12, '169'
Extracción 74,89,2023-06-13, '169.99'
Extracción 75,89,2023-06-13, '169.99'
Extracción 76,89,2023-06-14, '169'
Extracción 77,89,2023-06-14, '169.99'
Extracción 78,89,2023-06-15, '169.99'
Extracción 79,89,2023-06-15, '169'
Extracción 80,89,2023-06-16, '169.99'
Extracción 81,89,2023-06-16, '169'
Extracción 82,89,2023-06-17, '169.99'
Extracción 83,89,2023-06-17, '169.99'
Extracción 84,89,2023-06-18, '169'
Extracción 85,89,2023-06-18, '169.99'
Extracción 86,89,2023-06-19, '169.99'
Extracción 87,89,2023-06-19, '169'
Extracción 88,89,2023-06-20, '179.99'
Extracción 89,89,2023-06-20, '179.99'
Extracción 90,89,2023-06-21, '179'
Extracción 91,89,2023-06-21, '179.99'
Extracción 92,89,2023-06-22, '179.99'
Extracción 93,89,2023-06-22, '179'
Extracción 94,89,2023-06-23, '179.99'
Extracción 95,89,2023-06-23, '179.99'
Extracción 96,89,2023-06-24, '179'
Extracción 97,89,2023-06-24, '179.99'
Extracción 98,89,2023-06-25, '179.99'
Extracción 99,89,2023-06-25, '179'
Extracción 100,89,2023-06-26, '179.99'
Extracción 101,89,2023-06-26, '179'
Extracción 102,89,2023-06-27, '179.99'
Extracción 103,89,2023-06-27, '179.99'
Extracción 104,89,2023-06-28, '179'
Extracción 105,89,2023-06-28, '179.99'
Extracción 106,89,2023-06-29, '179.99'
Extracción 107,89,2023-06-29, '179'
Extracción 108,89,2023-06-30, '179.99'
Extracción 109,89,2023-06-30, '179.99'
Extracción 110,89,2023-07-01, '179'
Extracción 111,89,2023-07-01, '179.99'
Extracción 112,89,2023-07-02, '179.99'
Extracción 113,89,2023-07-02, '179'
Extracción 114,89,2023-07-03, '179.99'
Extracción 115,89,2023-07-03, '179.99'
Extracción 116,89,2023-07-04, '184'
Extracción 117,89,2023-07-04, '184.99'
Extracción 118,89,2023-07-05, '184.99'
Extracción 119,89,2023-07-05, '184'
Extracción 120,89,2023-07-06, '184.99'
Extracción 121,89,2023-07-06, '184'
Extracción 122,89,2023-07-07, '184.99'
Extracción 123,89,2023-07-07, '184.99'
Extracción 124,89,2023-07-08, '184'
Extracción 125,89,2023-07-08, '184.99'
Extracción 126,89,2023-07-09, '184.99'
Extracción 127,89,2023-07-09, '184'
Extracción 128,89,2023-07-10, '184.99'
Extracción 129,89,2023-07-10, '184.99'
Extracción 130,89,2023-07-11, '184'
Extracción 131,89,2023-07-11, '184.99'
Extracción 132,89,2023-07-12, '184.99'
Extracción 133,89,2023-07-12, '184'
Extracción 134,89,2023-07-13, '184.99'
Extracción 135,89,2023-07-13, '184.99'
Extracción 136,89,2023-07-14, '184'
Extracción 137,89,2023-07-14, '184.99'
Extracción 138,89,2023-07-15, '184.99'
Extracción 139,89,2023-07-15, '184'
Extracción 140,89,2023-07-16, '184.99'
Extracción 141,89,2023-07-16, '184'
Extracción 142,89,2023-07-17, '184.99'
Extracción 143,89,2023-07-17, '184.99'
Extracción 144,89,2023-07-18, '184.99'
Extracción 145,89,2023-07-18, '184.99'
Extracción 146,89,2023-07-19, '184.99'
Extracción 147,89,2023-07-19, '184'
Extracción 148,89,2023-07-20, '184.99'
Extracción 149,89,2023-07-20, '184.99'
Extracción 150,89,2023-07-21, '209'
Extracción 151,89,2023-07-21, '209.99'
Extracción 152,89,2023-07-22, '209.99'
Extracción 153,89,2023-07-22, '209'
Extracción 154,89,2023-07-23, '209.99'
Extracción 155,89,2023-07-23, '209.99'
Extracción 156,89,2023-07-24, '209'
Extracción 157,89,2023-07-24, '209.99'
Extracción 158,89,2023-07-25, '209.99'
Extracción 159,89,2023-07-25, '209'
Extracción 160,89,2023-07-26, '209.99'
Extracción 161,89,2023-07-26, '230.99'
Extracción 162,89,2023-07-27, '230.99'
Extracción 163,89,2023-07-27, '230.99'
Extracción 164,89,2023-07-28, '230.99'
Extracción 165,89,2023-07-28, '230.99'
Extracción 166,89,2023-07-29, '230.99'
Extracción 167,89,2023-07-29, '230.99'
Extracción 168,89,2023-07-30, '230.99'
Extracción 169,89,2023-07-30, '230.99'
Extracción 170,89,2023-07-31, '230.99'
Extracción 171,89,2023-07-31, '230.99'
Extracción 172,89,2023-08-01, '230.99'
Extracción 173,89,2023-08-01, '230.99'
Extracción 174,89,2023-08-02, '230.99'
Extracción 175,89,2023-08-02, '209.99'
Extracción 176,89,2023-08-03, '209'
Extracción 177,89,2023-08-03, '209.99'
Extracción 178,89,2023-08-04, '209.99'
Extracción 179,89,2023-08-04, '209.99'
Extracción 180,89,2023-08-05, '209.99'
Extracción 181,89,2023-08-05, '209'
Extracción 182,89,2023-08-06, '209.99'
Extracción 183,89,2023-08-06, '209.99'
Extracción 184,89,2023-08-07, '209'
Extracción 185,89,2023-08-07, '209.99'
Extracción 186,89,2023-08-08, '209.99'
Extracción 187,89,2023-08-08, '199'
Extracción 188,89,2023-08-09, '199.99'
Extracción 189,89,2023-08-09, '199.99'
Extracción 190,89,2023-08-10, '229'
Extracción 191,89,2023-08-10, '229.99'
Extracción 192,89,2023-08-11, '229'
Extracción 193,89,2023-08-11, '229'
Extracción 194,89,2023-08-12, '229.99'
Extracción 195,89,2023-08-12, '229'
Extracción 196,89,2023-08-13, '229'
Extracción 197,89,2023-08-13, '229.99'
Extracción 198,89,2023-08-14, '229.99'
Extracción 199,89,2023-08-14, '229'
Extracción 200,89,2023-08-15, '229.99'
Extracción 201,89,2023-08-15, '229'
Extracción 202,89,2023-08-16, 0
Extracción 203,89,2023-08-16, 0
Extracción 204,89,2023-08-17, 0
