N_Extracción,Product ID,Fecha,Precio
Extracción 0,23,2023-05-07, '759.00'
Extracción 1,23,2023-05-07, '759.00'
Extracción 2,23,2023-05-08, '759.00'
Extracción 3,23,2023-05-08, '759.00'
Extracción 4,23,2023-05-09, '809.00'
Extracción 5,23,2023-05-09, '809.00'
Extracción 6,23,2023-05-10, '809.00'
Extracción 7,23,2023-05-10, '809.00'
Extracción 8,23,2023-05-11, '809.00'
Extracción 9,23,2023-05-11, '809.00'
Extracción 10,23,2023-05-12, '809.00'
Extracción 11,23,2023-05-12, '809.00'
Extracción 12,23,2023-05-13, '809.00'
Extracción 13,23,2023-05-13, '809.00'
Extracción 14,23,2023-05-14, '789.00'
Extracción 15,23,2023-05-14, '789.00'
Extracción 16,23,2023-05-15, 0
Extracción 17,23,2023-05-15, '789.00'
Extracción 18,23,2023-05-16, 0
Extracción 19,23,2023-05-16, '789.00'
Extracción 20,23,2023-05-17, '789.00'
Extracción 21,23,2023-05-17, '789.00'
Extracción 22,23,2023-05-18, '789.00'
Extracción 23,23,2023-05-18, '789.00'
Extracción 24,23,2023-05-19, '792.02'
Extracción 25,23,2023-05-19, '789.00'
Extracción 26,23,2023-05-20, '809.00'
Extracción 27,23,2023-05-20, '809.00'
Extracción 28,23,2023-05-21, '809.00'
Extracción 29,23,2023-05-21, '809.00'
Extracción 30,23,2023-05-22, '809.00'
Extracción 31,23,2023-05-22, '809.00'
Extracción 32,23,2023-05-23, '793.00'
Extracción 33,23,2023-05-23, '793.00'
Extracción 34,23,2023-05-24, '793.00'
Extracción 35,23,2023-05-24, '809.00'
Extracción 36,23,2023-05-25, '809.00'
Extracción 37,23,2023-05-25, '779.00'
Extracción 38,23,2023-05-26, '779.00'
Extracción 39,23,2023-05-26, '779.00'
Extracción 40,23,2023-05-27, '779.00'
Extracción 41,23,2023-05-27, '779.00'
Extracción 42,23,2023-05-28, '779.00'
Extracción 43,23,2023-05-28, '779.00'
Extracción 44,23,2023-05-29, '779.00'
Extracción 45,23,2023-05-29, '779.00'
Extracción 46,23,2023-05-30, '779.00'
Extracción 47,23,2023-05-30, '779.00'
Extracción 48,23,2023-05-31, '779.00'
Extracción 49,23,2023-05-31, '779.00'
Extracción 50,23,2023-06-01, '779.00'
Extracción 51,23,2023-06-01, '779.00'
Extracción 52,23,2023-06-02, '779.00'
Extracción 53,23,2023-06-02, '779.00'
Extracción 54,23,2023-06-03, '779.00'
Extracción 55,23,2023-06-03, '779.00'
Extracción 56,23,2023-06-04, '779.00'
Extracción 57,23,2023-06-04, '779.00'
Extracción 58,23,2023-06-05, '779.00'
Extracción 59,23,2023-06-05, '779.00'
Extracción 60,23,2023-06-06, '769.00'
Extracción 61,23,2023-06-06, '769.00'
Extracción 62,23,2023-06-07, '769.00'
Extracción 63,23,2023-06-07, '769.00'
Extracción 64,23,2023-06-08, '769.00'
Extracción 65,23,2023-06-08, '769.00'
Extracción 66,23,2023-06-09, '769.00'
Extracción 67,23,2023-06-09, '769.00'
Extracción 68,23,2023-06-10, '769.00'
Extracción 69,23,2023-06-10, '769.00'
Extracción 70,23,2023-06-11, '799.00'
Extracción 71,23,2023-06-11, '799.00'
Extracción 72,23,2023-06-12, '799.00'
Extracción 73,23,2023-06-12, '799.00'
Extracción 74,23,2023-06-13, '779.00'
Extracción 75,23,2023-06-13, '779.00'
Extracción 76,23,2023-06-14, '779.00'
Extracción 77,23,2023-06-14, '779.00'
Extracción 78,23,2023-06-15, '779.00'
Extracción 79,23,2023-06-15, '769.00'
Extracción 80,23,2023-06-16, '769.00'
Extracción 81,23,2023-06-16, '769.00'
Extracción 82,23,2023-06-17, '769.00'
Extracción 83,23,2023-06-17, '769.00'
