N_Extracción,Product ID,Fecha,Precio
Extracción 0,90,2023-05-07, '449.99'
Extracción 1,90,2023-05-07, '449.99'
Extracción 2,90,2023-05-08, '429.99'
Extracción 3,90,2023-05-08, '429.99'
Extracción 4,90,2023-05-09, '429.99'
Extracción 5,90,2023-05-09, '429.99'
Extracción 6,90,2023-05-10, '429.99'
Extracción 7,90,2023-05-10, '429.99'
Extracción 8,90,2023-05-11, '429.99'
Extracción 9,90,2023-05-11, '429.99'
Extracción 10,90,2023-05-12, '429.99'
Extracción 11,90,2023-05-12, '429.99'
Extracción 12,90,2023-05-13, '429.99'
Extracción 13,90,2023-05-13, '429.99'
Extracción 14,90,2023-05-14, '429.99'
Extracción 15,90,2023-05-14, '429.99'
Extracción 16,90,2023-05-15, '429.99'
Extracción 17,90,2023-05-15, '429.99'
Extracción 18,90,2023-05-16, '429.99'
Extracción 19,90,2023-05-16, '429.99'
Extracción 20,90,2023-05-17, '429.99'
Extracción 21,90,2023-05-17, '429.99'
Extracción 22,90,2023-05-18, '429.99'
Extracción 23,90,2023-05-18, '429.99'
Extracción 24,90,2023-05-19, '429.99'
Extracción 25,90,2023-05-19, '429.99'
Extracción 26,90,2023-05-20, '429.99'
Extracción 27,90,2023-05-20, '429.99'
Extracción 28,90,2023-05-21, '429.99'
Extracción 29,90,2023-05-21, '429.99'
Extracción 30,90,2023-05-22, '419.99'
Extracción 31,90,2023-05-22, '419.99'
Extracción 32,90,2023-05-23, '419.99'
Extracción 33,90,2023-05-23, '419.99'
Extracción 34,90,2023-05-24, '419.99'
Extracción 35,90,2023-05-24, '419.99'
Extracción 36,90,2023-05-25, '419.99'
Extracción 37,90,2023-05-25, '419.99'
Extracción 38,90,2023-05-26, '419.99'
Extracción 39,90,2023-05-26, '419.99'
Extracción 40,90,2023-05-27, '419.99'
Extracción 41,90,2023-05-27, '419.99'
Extracción 42,90,2023-05-28, '419.99'
Extracción 43,90,2023-05-28, '419.99'
Extracción 44,90,2023-05-29, '419.99'
Extracción 45,90,2023-05-29, '419.99'
Extracción 46,90,2023-05-30, '419.99'
Extracción 47,90,2023-05-30, '419.99'
Extracción 48,90,2023-05-31, '419.99'
Extracción 49,90,2023-05-31, '419.99'
Extracción 50,90,2023-06-01, '419.99'
Extracción 51,90,2023-06-01, '419.99'
Extracción 52,90,2023-06-02, '419.99'
Extracción 53,90,2023-06-02, '419.99'
Extracción 54,90,2023-06-03, '419.99'
Extracción 55,90,2023-06-03, '419.99'
Extracción 56,90,2023-06-04, '419.99'
Extracción 57,90,2023-06-04, '419.99'
Extracción 58,90,2023-06-05, '419.99'
Extracción 59,90,2023-06-05, '419.99'
Extracción 60,90,2023-06-06, '419.99'
Extracción 61,90,2023-06-06, '429.99'
Extracción 62,90,2023-06-07, '429.99'
Extracción 63,90,2023-06-07, '429.99'
Extracción 64,90,2023-06-08, '429.99'
Extracción 65,90,2023-06-08, '429.99'
Extracción 66,90,2023-06-09, '429.99'
Extracción 67,90,2023-06-09, '429.99'
Extracción 68,90,2023-06-10, '429.99'
Extracción 69,90,2023-06-10, '429.99'
Extracción 70,90,2023-06-11, '429.99'
Extracción 71,90,2023-06-11, '429.99'
Extracción 72,90,2023-06-12, '429.99'
Extracción 73,90,2023-06-12, '429.99'
Extracción 74,90,2023-06-13, '429.99'
Extracción 75,90,2023-06-13, '419.99'
Extracción 76,90,2023-06-14, '419.99'
Extracción 77,90,2023-06-14, '419.99'
Extracción 78,90,2023-06-15, '419.99'
Extracción 79,90,2023-06-15, '419.99'
Extracción 80,90,2023-06-16, '419.99'
Extracción 81,90,2023-06-16, '419.99'
Extracción 82,90,2023-06-17, '419.99'
Extracción 83,90,2023-06-17, '419.99'
Extracción 84,90,2023-06-18, '419.99'
Extracción 85,90,2023-06-18, '419.99'
Extracción 86,90,2023-06-19, '419.99'
Extracción 87,90,2023-06-19, '419.99'
Extracción 88,90,2023-06-20, '419.99'
Extracción 89,90,2023-06-20, '419.99'
Extracción 90,90,2023-06-21, '419.99'
Extracción 91,90,2023-06-21, '419.99'
Extracción 92,90,2023-06-22, '419.99'
Extracción 93,90,2023-06-22, '419.99'
Extracción 94,90,2023-06-23, '419.99'
Extracción 95,90,2023-06-23, '419.99'
Extracción 96,90,2023-06-24, '419.99'
Extracción 97,90,2023-06-24, '419.99'
Extracción 98,90,2023-06-25, '419.99'
Extracción 99,90,2023-06-25, '419.99'
Extracción 100,90,2023-06-26, '419.99'
Extracción 101,90,2023-06-26, '419.99'
Extracción 102,90,2023-06-27, '419.99'
Extracción 103,90,2023-06-27, '419.99'
Extracción 104,90,2023-06-28, '419.99'
Extracción 105,90,2023-06-28, '419.99'
Extracción 106,90,2023-06-29, '419.99'
Extracción 107,90,2023-06-29, '419.99'
Extracción 108,90,2023-06-30, '419.99'
Extracción 109,90,2023-06-30, '419.99'
Extracción 110,90,2023-07-01, '419.99'
Extracción 111,90,2023-07-01, '419.99'
Extracción 112,90,2023-07-02, '419.99'
Extracción 113,90,2023-07-02, '419.99'
Extracción 114,90,2023-07-03, '419.99'
Extracción 115,90,2023-07-03, '419.99'
Extracción 116,90,2023-07-04, '419.99'
Extracción 117,90,2023-07-04, '419.99'
Extracción 118,90,2023-07-05, '419.99'
Extracción 119,90,2023-07-05, '419.99'
Extracción 120,90,2023-07-06, '419.99'
Extracción 121,90,2023-07-06, '419.99'
Extracción 122,90,2023-07-07, '419.99'
Extracción 123,90,2023-07-07, '419.99'
Extracción 124,90,2023-07-08, '419.99'
Extracción 125,90,2023-07-08, '419.99'
Extracción 126,90,2023-07-09, '419.99'
Extracción 127,90,2023-07-09, '419.99'
Extracción 128,90,2023-07-10, '419.99'
Extracción 129,90,2023-07-10, '419.99'
Extracción 130,90,2023-07-11, '419.99'
Extracción 131,90,2023-07-11, '419.99'
Extracción 132,90,2023-07-12, '419.99'
Extracción 133,90,2023-07-12, '419.99'
Extracción 134,90,2023-07-13, '419.99'
Extracción 135,90,2023-07-13, '419.99'
Extracción 136,90,2023-07-14, '419.99'
Extracción 137,90,2023-07-14, '419.99'
Extracción 138,90,2023-07-15, '419.99'
Extracción 139,90,2023-07-15, '419.99'
Extracción 140,90,2023-07-16, '419.99'
Extracción 141,90,2023-07-16, '419.99'
Extracción 142,90,2023-07-17, '419.99'
Extracción 143,90,2023-07-17, '419.99'
Extracción 144,90,2023-07-18, '419.99'
Extracción 145,90,2023-07-18, '419.99'
Extracción 146,90,2023-07-19, '419.99'
Extracción 147,90,2023-07-19, '419.99'
Extracción 148,90,2023-07-20, '419.99'
Extracción 149,90,2023-07-20, '419.99'
Extracción 150,90,2023-07-21, '419.99'
Extracción 151,90,2023-07-21, '419.99'
Extracción 152,90,2023-07-22, '419.99'
Extracción 153,90,2023-07-22, '419.99'
Extracción 154,90,2023-07-23, '419.99'
Extracción 155,90,2023-07-23, '419.99'
Extracción 156,90,2023-07-24, '419.99'
Extracción 157,90,2023-07-24, '419.99'
Extracción 158,90,2023-07-25, '419.99'
Extracción 159,90,2023-07-25, '419.99'
Extracción 160,90,2023-07-26, '419.99'
Extracción 161,90,2023-07-26, '419.99'
Extracción 162,90,2023-07-27, '419.99'
Extracción 163,90,2023-07-27, '419.99'
Extracción 164,90,2023-07-28, '419.99'
Extracción 165,90,2023-07-28, '419.99'
Extracción 166,90,2023-07-29, '419.99'
Extracción 167,90,2023-07-29, '419.99'
Extracción 168,90,2023-07-30, '419.99'
Extracción 169,90,2023-07-30, '419.99'
Extracción 170,90,2023-07-31, '419.99'
Extracción 171,90,2023-07-31, '419.99'
Extracción 172,90,2023-08-01, '419.99'
Extracción 173,90,2023-08-01, '419.99'
Extracción 174,90,2023-08-02, '419.99'
Extracción 175,90,2023-08-02, '419.99'
Extracción 176,90,2023-08-03, '419.99'
Extracción 177,90,2023-08-03, '419.99'
Extracción 178,90,2023-08-04, '419.99'
Extracción 179,90,2023-08-04, '419.99'
Extracción 180,90,2023-08-05, '419.99'
Extracción 181,90,2023-08-05, '419.99'
Extracción 182,90,2023-08-06, '419.99'
Extracción 183,90,2023-08-06, '419.99'
Extracción 184,90,2023-08-07, '419.99'
Extracción 185,90,2023-08-07, '419.99'
Extracción 186,90,2023-08-08, '419.99'
Extracción 187,90,2023-08-08, '419.99'
Extracción 188,90,2023-08-09, '419.99'
Extracción 189,90,2023-08-09, '419.99'
Extracción 190,90,2023-08-10, '419.99'
Extracción 191,90,2023-08-10, '419.99'
Extracción 192,90,2023-08-11, '419.99'
Extracción 193,90,2023-08-11, '419.99'
Extracción 194,90,2023-08-12, '419.99'
Extracción 195,90,2023-08-12, '419.99'
Extracción 196,90,2023-08-13, '419.99'
Extracción 197,90,2023-08-13, '419.99'
Extracción 198,90,2023-08-14, '419.99'
Extracción 199,90,2023-08-14, '419.99'
Extracción 200,90,2023-08-15, '419.99'
Extracción 201,90,2023-08-15, '419.99'
Extracción 202,90,2023-08-16, '419.99'
Extracción 203,90,2023-08-16, 0
Extracción 204,90,2023-08-17, 0
Extracción 205,90,2023-08-17, 0
Extracción 206,90,2023-08-18, 0
Extracción 207,90,2023-08-18, 0
Extracción 208,90,2023-08-19, 0
Extracción 209,90,2023-08-19, 0
Extracción 210,90,2023-08-20, 0
Extracción 211,90,2023-08-20, 0
Extracción 212,90,2023-08-21, 0
Extracción 213,90,2023-08-21, 0
Extracción 214,90,2023-08-22, 0
Extracción 215,90,2023-08-22, 0
Extracción 216,90,2023-08-23, 0
Extracción 217,90,2023-08-23, 0
Extracción 218,90,2023-08-24, 0
Extracción 219,90,2023-08-24, 0
Extracción 220,90,2023-08-25, 0
Extracción 221,90,2023-08-25, 0
Extracción 222,90,2023-08-26, 0
Extracción 223,90,2023-08-26, 0
Extracción 224,90,2023-08-27, 0
Extracción 225,90,2023-08-27, 0
Extracción 226,90,2023-08-28, 0
Extracción 227,90,2023-08-28, 0
Extracción 228,90,2023-08-29, 0
Extracción 229,90,2023-08-29, 0
Extracción 230,90,2023-08-30, 0
Extracción 231,90,2023-08-30, 0
Extracción 232,90,2023-08-31, 0
Extracción 233,90,2023-08-31, 0
Extracción 234,90,2023-09-01, 0
Extracción 235,90,2023-09-01, 0
Extracción 236,90,2023-09-02, 0
Extracción 237,90,2023-09-02, 0
Extracción 238,90,2023-09-03, 0
Extracción 239,90,2023-09-03, 0
Extracción 240,90,2023-09-04, 0
Extracción 241,90,2023-09-04, 0
Extracción 242,90,2023-09-05, 0
Extracción 243,90,2023-09-05, 0
Extracción 244,90,2023-09-06, 0
Extracción 245,90,2023-09-06, 0
Extracción 246,90,2023-09-07, 0
Extracción 247,90,2023-09-07, 0
Extracción 248,90,2023-09-08, 0
Extracción 249,90,2023-09-08, 0
Extracción 250,90,2023-09-09, 0
Extracción 251,90,2023-09-09, 0
Extracción 252,90,2023-09-10, 0
Extracción 253,90,2023-09-10, 0
Extracción 254,90,2023-09-11, 0
Extracción 255,90,2023-09-11, 0
Extracción 256,90,2023-09-12, 0
Extracción 257,90,2023-09-12, 0
Extracción 258,90,2023-09-13, 0
Extracción 259,90,2023-09-13, 0
Extracción 260,90,2023-09-14, 0
Extracción 261,90,2023-09-14, 0
Extracción 262,90,2023-09-15, 0
Extracción 263,90,2023-09-15, 0
Extracción 264,90,2023-09-16, 0
Extracción 265,90,2023-09-16, 0
Extracción 266,90,2023-09-17, 0
