N_Extracción,Product ID,Fecha,Precio
Extracción 0,50,2023-05-07, '666.00'
Extracción 1,50,2023-05-07, '666.00'
Extracción 2,50,2023-05-08, '666.00'
Extracción 3,50,2023-05-10, '666.00'
Extracción 4,50,2023-05-10, '666.00'
Extracción 5,50,2023-05-11, '666.00'
Extracción 6,50,2023-05-13, '666.00'
Extracción 7,50,2023-05-13, 0
Extracción 8,50,2023-05-14, 0
Extracción 9,50,2023-05-16, 0
Extracción 10,50,2023-05-16, 0
Extracción 11,50,2023-05-17, 0
Extracción 12,50,2023-05-19, 0
Extracción 13,50,2023-05-19, 0
Extracción 14,50,2023-05-20, 0
Extracción 15,50,2023-05-22, 0
Extracción 16,50,2023-05-22, '679.00'
Extracción 17,50,2023-05-23, '679.00'
Extracción 18,50,2023-05-25, '679.00'
Extracción 19,50,2023-05-25, '679.00'
Extracción 20,50,2023-05-26, '679.00'
Extracción 21,50,2023-05-28, '679.00'
Extracción 22,50,2023-05-28, '679.00'
Extracción 23,50,2023-05-29, '679.00'
Extracción 24,50,2023-05-31, '599'
Extracción 25,50,2023-05-31, '679.00'
Extracción 26,50,2023-06-01, '679.00'
Extracción 27,50,2023-06-03, '679.00'
Extracción 28,50,2023-06-03, '679.00'
Extracción 29,50,2023-06-04, '679.00'
Extracción 30,50,2023-06-06, '821.00'
Extracción 31,50,2023-06-06, '67851'
Extracción 32,50,2023-06-07, '67851'
Extracción 33,50,2023-06-09, '729.00'
Extracción 34,50,2023-06-09, '729.00'
Extracción 35,50,2023-06-10, '849.00'
Extracción 36,50,2023-06-12, '599'
Extracción 37,50,2023-06-12, '599'
Extracción 38,50,2023-06-13, '599'
Extracción 39,50,2023-06-15, '599'
Extracción 40,50,2023-06-15, '599'
Extracción 41,50,2023-06-16, '599'
Extracción 42,50,2023-06-18, '599'
Extracción 43,50,2023-06-18, '599'
Extracción 44,50,2023-06-19, 0
Extracción 45,50,2023-06-21, '599'
Extracción 46,50,2023-06-21, 0
Extracción 47,50,2023-06-22, 0
Extracción 48,50,2023-06-24, 0
Extracción 49,50,2023-06-24, 0
Extracción 50,50,2023-06-25, 0
Extracción 51,50,2023-06-27, 0
Extracción 52,50,2023-06-27, 0
Extracción 53,50,2023-06-28, 0
Extracción 54,50,2023-06-30, 0
Extracción 55,50,2023-06-30, '599'
Extracción 56,50,2023-07-01, '599'
Extracción 57,50,2023-07-03, '599'
Extracción 58,50,2023-07-03, '599'
Extracción 59,50,2023-07-04, '599'
Extracción 60,50,2023-07-06, 0
Extracción 61,50,2023-07-06, 0
Extracción 62,50,2023-07-07, 0
Extracción 63,50,2023-07-09, 0
Extracción 64,50,2023-07-09, '599'
Extracción 65,50,2023-07-10, 0
Extracción 66,50,2023-07-12, '599'
Extracción 67,50,2023-07-12, 0
Extracción 68,50,2023-07-13, '599'
Extracción 69,50,2023-07-15, '599'
Extracción 70,50,2023-07-15, '579.00'
Extracción 71,50,2023-07-16, '579.00'
Extracción 72,50,2023-07-18, '579.00'
Extracción 73,50,2023-07-18, '579.00'
Extracción 74,50,2023-07-19, '579.00'
Extracción 75,50,2023-07-21, '579.00'
