N_Extracción,Product ID,Fecha,Precio
Extracción 0,63,2023-05-07, '119'
Extracción 1,63,2023-05-07, '119'
Extracción 2,63,2023-05-08, '119.99'
Extracción 3,63,2023-05-08, '119.99'
Extracción 4,63,2023-05-09, '119.99'
Extracción 5,63,2023-05-09, '119.99'
Extracción 6,63,2023-05-10, '119.99'
Extracción 7,63,2023-05-10, '119'
Extracción 8,63,2023-05-11, '119.99'
Extracción 9,63,2023-05-11, '119.99'
Extracción 10,63,2023-05-12, '119.99'
Extracción 11,63,2023-05-12, '119.99'
Extracción 12,63,2023-05-13, '119.99'
Extracción 13,63,2023-05-13, '119'
Extracción 14,63,2023-05-14, '119.99'
Extracción 15,63,2023-05-14, '119.99'
Extracción 16,63,2023-05-15, '119'
Extracción 17,63,2023-05-15, '119.99'
Extracción 18,63,2023-05-16, '119.99'
Extracción 19,63,2023-05-16, '119'
Extracción 20,63,2023-05-17, '119.99'
Extracción 21,63,2023-05-17, '119'
Extracción 22,63,2023-05-18, '119.99'
Extracción 23,63,2023-05-18, '119.99'
Extracción 24,63,2023-05-19, '119'
Extracción 25,63,2023-05-19, '119.99'
Extracción 26,63,2023-05-20, '119.99'
Extracción 27,63,2023-05-20, '119'
Extracción 28,63,2023-05-21, '119.99'
Extracción 29,63,2023-05-21, '119.99'
Extracción 30,63,2023-05-22, '119.99'
Extracción 31,63,2023-05-22, '119.99'
Extracción 32,63,2023-05-23, '119.99'
Extracción 33,63,2023-05-23, '119'
Extracción 34,63,2023-05-24, '119.99'
Extracción 35,63,2023-05-24, '119.99'
Extracción 36,63,2023-05-25, '119.99'
Extracción 37,63,2023-05-25, '119.99'
Extracción 38,63,2023-05-26, '119.99'
Extracción 39,63,2023-05-26, '119'
Extracción 40,63,2023-05-27, '119.99'
Extracción 41,63,2023-05-27, '119'
Extracción 42,63,2023-05-28, '119.99'
Extracción 43,63,2023-05-28, '119.99'
Extracción 44,63,2023-05-29, '119'
Extracción 45,63,2023-05-29, '119.99'
Extracción 46,63,2023-05-30, '119.99'
Extracción 47,63,2023-05-30, '119'
Extracción 48,63,2023-05-31, '119.99'
Extracción 49,63,2023-05-31, '119.99'
Extracción 50,63,2023-06-01, '119'
Extracción 51,63,2023-06-01, '119.99'
Extracción 52,63,2023-06-02, '119.99'
Extracción 53,63,2023-06-02, '119'
Extracción 54,63,2023-06-03, '119.99'
Extracción 55,63,2023-06-03, '119.99'
Extracción 56,63,2023-06-04, '119'
Extracción 57,63,2023-06-04, '119.99'
Extracción 58,63,2023-06-05, '119.99'
Extracción 59,63,2023-06-05, '119.99'
Extracción 60,63,2023-06-06, '119.99'
Extracción 61,63,2023-06-06, '119'
Extracción 62,63,2023-06-07, '119.99'
Extracción 63,63,2023-06-07, '119.99'
Extracción 64,63,2023-06-08, '119'
Extracción 65,63,2023-06-08, '119.99'
Extracción 66,63,2023-06-09, '119.99'
Extracción 67,63,2023-06-09, '119.99'
Extracción 68,63,2023-06-10, '119.99'
Extracción 69,63,2023-06-10, '119.99'
Extracción 70,63,2023-06-11, '119'
Extracción 71,63,2023-06-11, '119.99'
Extracción 72,63,2023-06-12, '119.99'
Extracción 73,63,2023-06-12, '119'
Extracción 74,63,2023-06-13, '119.99'
Extracción 75,63,2023-06-13, '119.99'
Extracción 76,63,2023-06-14, '119.99'
Extracción 77,63,2023-06-14, '119.99'
Extracción 78,63,2023-06-15, '119.99'
Extracción 79,63,2023-06-15, '119'
Extracción 80,63,2023-06-16, '119.99'
Extracción 81,63,2023-06-16, '119'
Extracción 82,63,2023-06-17, '119.99'
Extracción 83,63,2023-06-17, '119.99'
Extracción 84,63,2023-06-18, '119'
Extracción 85,63,2023-06-18, '119.99'
Extracción 86,63,2023-06-19, '119.99'
Extracción 87,63,2023-06-19, '119'
Extracción 88,63,2023-06-20, '119.99'
Extracción 89,63,2023-06-20, '119.99'
Extracción 90,63,2023-06-21, '119.99'
Extracción 91,63,2023-06-21, '119.99'
Extracción 92,63,2023-06-22, '119.99'
Extracción 93,63,2023-06-22, '119'
Extracción 94,63,2023-06-23, '119.99'
Extracción 95,63,2023-06-23, '119.99'
Extracción 96,63,2023-06-24, '119'
Extracción 97,63,2023-06-24, '119.99'
Extracción 98,63,2023-06-25, '119.99'
Extracción 99,63,2023-06-25, '119.99'
Extracción 100,63,2023-06-26, '119.99'
Extracción 101,63,2023-06-26, '119.99'
Extracción 102,63,2023-06-27, '119.99'
Extracción 103,63,2023-06-27, '119.99'
Extracción 104,63,2023-06-28, '119'
Extracción 105,63,2023-06-28, '119.99'
Extracción 106,63,2023-06-29, '119.99'
Extracción 107,63,2023-06-29, '119.99'
Extracción 108,63,2023-06-30, '119.99'
Extracción 109,63,2023-06-30, '119.99'
Extracción 110,63,2023-07-01, '119.99'
Extracción 111,63,2023-07-01, '119.99'
Extracción 112,63,2023-07-02, '119.99'
Extracción 113,63,2023-07-02, '119'
Extracción 114,63,2023-07-03, '119.99'
Extracción 115,63,2023-07-03, '119.99'
Extracción 116,63,2023-07-04, '119'
Extracción 117,63,2023-07-04, '119.99'
Extracción 118,63,2023-07-05, '119.99'
Extracción 119,63,2023-07-05, '119.99'
Extracción 120,63,2023-07-06, '119.99'
Extracción 121,63,2023-07-06, '119'
Extracción 122,63,2023-07-07, '119.99'
Extracción 123,63,2023-07-07, '119.99'
Extracción 124,63,2023-07-08, '119'
Extracción 125,63,2023-07-08, '119.99'
Extracción 126,63,2023-07-09, '119.99'
Extracción 127,63,2023-07-09, '119'
Extracción 128,63,2023-07-10, '119.99'
Extracción 129,63,2023-07-10, '119.99'
Extracción 130,63,2023-07-11, '119.99'
Extracción 131,63,2023-07-11, '119.99'
Extracción 132,63,2023-07-12, '119.99'
Extracción 133,63,2023-07-12, '119'
Extracción 134,63,2023-07-13, '119.99'
Extracción 135,63,2023-07-13, '119.99'
Extracción 136,63,2023-07-14, '119'
Extracción 137,63,2023-07-14, '119.99'
Extracción 138,63,2023-07-15, '119.99'
Extracción 139,63,2023-07-15, '119'
Extracción 140,63,2023-07-16, '119.99'
Extracción 141,63,2023-07-16, '119'
Extracción 142,63,2023-07-17, '119.99'
Extracción 143,63,2023-07-17, '119.99'
Extracción 144,63,2023-07-18, '119'
Extracción 145,63,2023-07-18, '119.99'
Extracción 146,63,2023-07-19, '119.99'
Extracción 147,63,2023-07-19, '119'
Extracción 148,63,2023-07-20, '119.99'
Extracción 149,63,2023-07-20, '119.99'
Extracción 150,63,2023-07-21, '119'
Extracción 151,63,2023-07-21, '119.99'
Extracción 152,63,2023-07-22, '119.99'
Extracción 153,63,2023-07-22, '119.99'
Extracción 154,63,2023-07-23, '119.99'
Extracción 155,63,2023-07-23, '119.99'
Extracción 156,63,2023-07-24, '119'
Extracción 157,63,2023-07-24, '119.99'
Extracción 158,63,2023-07-25, '119.99'
Extracción 159,63,2023-07-25, '119.99'
Extracción 160,63,2023-07-26, '119.99'
Extracción 161,63,2023-07-26, '119.99'
Extracción 162,63,2023-07-27, '119.99'
Extracción 163,63,2023-07-27, '119.99'
Extracción 164,63,2023-07-28, '119'
Extracción 165,63,2023-07-28, '119.99'
