N_Extracción,Product ID,Fecha,Precio
Extracción 0,6,2023-05-07, '299.00'
Extracción 1,6,2023-05-07, '299.00'
Extracción 2,6,2023-05-08, '299.00'
Extracción 3,6,2023-05-08, '299.00'
Extracción 4,6,2023-05-09, '309.00'
Extracción 5,6,2023-05-09, 0
Extracción 6,6,2023-05-10, 0
Extracción 7,6,2023-05-10, 0
Extracción 8,6,2023-05-11, 0
Extracción 9,6,2023-05-11, 0
Extracción 10,6,2023-05-12, 0
Extracción 11,6,2023-05-12, 0
Extracción 12,6,2023-05-13, 0
Extracción 13,6,2023-05-13, 0
Extracción 14,6,2023-05-14, '1'
Extracción 15,6,2023-05-14, 0
Extracción 16,6,2023-05-15, 0
Extracción 17,6,2023-05-15, 0
Extracción 18,6,2023-05-16, 0
Extracción 19,6,2023-05-16, 0
Extracción 20,6,2023-05-17, 0
Extracción 21,6,2023-05-17, 0
Extracción 22,6,2023-05-18, 0
Extracción 23,6,2023-05-18, '295.00'
Extracción 24,6,2023-05-19, 0
Extracción 25,6,2023-05-19, 0
Extracción 26,6,2023-05-20, 0
Extracción 27,6,2023-05-20, 0
Extracción 28,6,2023-05-21, 0
Extracción 29,6,2023-05-21, 0
Extracción 30,6,2023-05-22, 0
Extracción 31,6,2023-05-22, 0
Extracción 32,6,2023-05-23, 0
Extracción 33,6,2023-05-23, 0
Extracción 34,6,2023-05-24, 0
Extracción 35,6,2023-05-24, 0
Extracción 36,6,2023-05-25, '349'
Extracción 37,6,2023-05-25, '429.00'
Extracción 38,6,2023-05-26, '429.00'
Extracción 39,6,2023-05-26, 0
Extracción 40,6,2023-05-27, 0
Extracción 41,6,2023-05-27, 0
Extracción 42,6,2023-05-28, 0
Extracción 43,6,2023-05-28, 0
Extracción 44,6,2023-05-29, 0
Extracción 45,6,2023-05-29, 0
Extracción 46,6,2023-05-30, 0
Extracción 47,6,2023-05-30, 0
Extracción 48,6,2023-05-31, 0
Extracción 49,6,2023-05-31, 0
Extracción 50,6,2023-06-01, 0
Extracción 51,6,2023-06-01, 0
