N_Extracción,Product ID,Fecha,Precio
Extracción 0,40,2023-05-07, 0
N_Extracción,40,2023-05-07,
Extracción 0,40,2023-05-08, '79.99'
Extracción 1,40,2023-05-08, '79.99'
Extracción 2,40,2023-05-09, '79.99'
Extracción 3,40,2023-05-09, '79.99'
Extracción 4,40,2023-05-10, '79.99'
Extracción 5,40,2023-05-10, '79.99'
Extracción 6,40,2023-05-11, '79.99'
Extracción 7,40,2023-05-11, '79.99'
Extracción 8,40,2023-05-12, '79.99'
Extracción 9,40,2023-05-12, '79.99'
Extracción 10,40,2023-05-13, '79.99'
Extracción 11,40,2023-05-13, '79.99'
Extracción 12,40,2023-05-14, '79.99'
Extracción 13,40,2023-05-14, '79.99'
Extracción 14,40,2023-05-15, '79.99'
Extracción 15,40,2023-05-15, '79.99'
Extracción 16,40,2023-05-16, '79.99'
Extracción 17,40,2023-05-16, '79.99'
Extracción 18,40,2023-05-17, '79.99'
Extracción 19,40,2023-05-17, '79.99'
Extracción 20,40,2023-05-18, '79.99'
Extracción 21,40,2023-05-18, '79.99'
Extracción 22,40,2023-05-19, '79.99'
Extracción 23,40,2023-05-19, '79.99'
Extracción 24,40,2023-05-20, '79.99'
Extracción 25,40,2023-05-20, '79.99'
Extracción 26,40,2023-05-21, '79.99'
Extracción 27,40,2023-05-21, '79.99'
Extracción 28,40,2023-05-22, '79.99'
Extracción 29,40,2023-05-22, '79.99'
Extracción 30,40,2023-05-23, '79.99'
Extracción 31,40,2023-05-23, '79.99'
Extracción 32,40,2023-05-24, '79.99'
Extracción 33,40,2023-05-24, '79.99'
Extracción 34,40,2023-05-25, '79.99'
Extracción 35,40,2023-05-25, '79.99'
Extracción 36,40,2023-05-26, '79.99'
Extracción 37,40,2023-05-26, '79.99'
Extracción 38,40,2023-05-27, '79.99'
Extracción 39,40,2023-05-27, '79.99'
Extracción 40,40,2023-05-28, '79.99'
Extracción 41,40,2023-05-28, '79.99'
Extracción 42,40,2023-05-29, '79.99'
Extracción 43,40,2023-05-29, '79.99'
Extracción 44,40,2023-05-30, '79.99'
Extracción 45,40,2023-05-30, '79.99'
Extracción 46,40,2023-05-31, '79.99'
Extracción 47,40,2023-05-31, '79.99'
Extracción 48,40,2023-06-01, '79.99'
Extracción 49,40,2023-06-01, '79.99'
Extracción 50,40,2023-06-02, '79.99'
Extracción 51,40,2023-06-02, '79.99'
Extracción 52,40,2023-06-03, '79.99'
Extracción 53,40,2023-06-03, '79.99'
Extracción 54,40,2023-06-04, '79.99'
Extracción 55,40,2023-06-04, '79.99'
Extracción 56,40,2023-06-05, '79.99'
Extracción 57,40,2023-06-05, '79.99'
Extracción 58,40,2023-06-06, '79.99'
Extracción 59,40,2023-06-06, '79.99'
Extracción 60,40,2023-06-07, '79.99'
Extracción 61,40,2023-06-07, '79.99'
Extracción 62,40,2023-06-08, '79.99'
Extracción 63,40,2023-06-08, '79.99'
Extracción 64,40,2023-06-09, '79.99'
Extracción 65,40,2023-06-09, '79.99'
Extracción 66,40,2023-06-10, '79.99'
Extracción 67,40,2023-06-10, '79.99'
Extracción 68,40,2023-06-11, '79.99'
Extracción 69,40,2023-06-11, '79.99'
Extracción 70,40,2023-06-12, '79.99'
Extracción 71,40,2023-06-12, '79.99'
Extracción 72,40,2023-06-13, '79.99'
Extracción 73,40,2023-06-13, '79.99'
Extracción 74,40,2023-06-14, '79.99'
Extracción 75,40,2023-06-14, '79.99'
Extracción 76,40,2023-06-15, '79.99'
Extracción 77,40,2023-06-15, '79.99'
Extracción 78,40,2023-06-16, '79.99'
Extracción 79,40,2023-06-16, '79.99'
Extracción 80,40,2023-06-17, '79.99'
Extracción 81,40,2023-06-17, '79.99'
Extracción 82,40,2023-06-18, '79.99'
Extracción 83,40,2023-06-18, '79.99'
Extracción 84,40,2023-06-19, '79.99'
Extracción 85,40,2023-06-19, '79.99'
Extracción 86,40,2023-06-20, '79.99'
Extracción 87,40,2023-06-20, '79.99'
Extracción 88,40,2023-06-21, '79.99'
Extracción 89,40,2023-06-21, '79.99'
Extracción 90,40,2023-06-22, '79.99'
Extracción 91,40,2023-06-22, '79.99'
