N_Extracción,Product ID,Fecha,Precio
Extracción 0,55,2023-05-07, '299.00'
Extracción 1,55,2023-05-07, 0
Extracción 2,55,2023-05-08, 0
Extracción 3,55,2023-05-10, '299.00'
Extracción 4,55,2023-05-10, '299.00'
Extracción 5,55,2023-05-11, 0
Extracción 6,55,2023-05-13, '289.00'
Extracción 7,55,2023-05-13, '289.00'
Extracción 8,55,2023-05-14, '289.00'
Extracción 9,55,2023-05-16, '289.00'
Extracción 10,55,2023-05-16, '289.00'
Extracción 11,55,2023-05-17, '289.00'
Extracción 12,55,2023-05-19, '289.00'
Extracción 13,55,2023-05-19, '289.00'
Extracción 14,55,2023-05-20, '289.00'
Extracción 15,55,2023-05-22, '299.00'
Extracción 16,55,2023-05-22, '299.00'
Extracción 17,55,2023-05-23, '299.00'
Extracción 18,55,2023-05-25, '299.00'
Extracción 19,55,2023-05-25, '299.00'
Extracción 20,55,2023-05-26, '299.00'
Extracción 21,55,2023-05-28, '299.00'
Extracción 22,55,2023-05-28, '299.00'
Extracción 23,55,2023-05-29, '299.00'
Extracción 24,55,2023-05-31, '299.00'
Extracción 25,55,2023-05-31, '299.00'
Extracción 26,55,2023-06-01, '299.00'
Extracción 27,55,2023-06-03, '299.00'
Extracción 28,55,2023-06-03, '299.00'
Extracción 29,55,2023-06-04, '299.00'
Extracción 30,55,2023-06-06, '299.00'
Extracción 31,55,2023-06-06, '299.00'
Extracción 32,55,2023-06-07, '299.00'
Extracción 33,55,2023-06-09, '299.00'
Extracción 34,55,2023-06-09, '299.00'
Extracción 35,55,2023-06-10, '299.00'
Extracción 36,55,2023-06-12, '299.00'
Extracción 37,55,2023-06-12, '299.00'
Extracción 38,55,2023-06-13, '299.00'
Extracción 39,55,2023-06-15, '299.00'
Extracción 40,55,2023-06-15, '299.00'
Extracción 41,55,2023-06-16, '299.00'
Extracción 42,55,2023-06-18, '299.00'
Extracción 43,55,2023-06-18, '299.00'
Extracción 44,55,2023-06-19, '299.00'
Extracción 45,55,2023-06-21, '299.00'
Extracción 46,55,2023-06-21, '299.00'
Extracción 47,55,2023-06-22, '299.00'
Extracción 48,55,2023-06-24, '299.00'
Extracción 49,55,2023-06-24, '299.00'
Extracción 50,55,2023-06-25, '299.00'
Extracción 51,55,2023-06-27, '299.00'
Extracción 52,55,2023-06-27, '299.00'
Extracción 53,55,2023-06-28, '299.00'
Extracción 54,55,2023-06-30, '299.00'
Extracción 55,55,2023-06-30, '299.00'
Extracción 56,55,2023-07-01, '299.00'
Extracción 57,55,2023-07-03, '299.00'
Extracción 58,55,2023-07-03, '299.00'
Extracción 59,55,2023-07-04, '299.00'
Extracción 60,55,2023-07-06, '299.00'
Extracción 61,55,2023-07-06, '299.00'
Extracción 62,55,2023-07-07, '299.00'
Extracción 63,55,2023-07-09, '299.00'
Extracción 64,55,2023-07-09, '299.00'
Extracción 65,55,2023-07-10, '289.00'
Extracción 66,55,2023-07-12, '289.00'
Extracción 67,55,2023-07-12, '289.00'
Extracción 68,55,2023-07-13, '289.00'
Extracción 69,55,2023-07-15, '289.00'
Extracción 70,55,2023-07-15, '289.00'
Extracción 71,55,2023-07-16, '289.00'
Extracción 72,55,2023-07-18, '289.00'
Extracción 73,55,2023-07-18, '289.00'
Extracción 74,55,2023-07-19, '289.00'
Extracción 75,55,2023-07-21, '289.00'
Extracción 76,55,2023-07-21, '289.00'
Extracción 77,55,2023-07-22, '289.00'
Extracción 78,55,2023-07-24, '289.00'
Extracción 79,55,2023-07-24, '289.00'
Extracción 80,55,2023-07-25, '289.00'
Extracción 81,55,2023-07-27, '289.00'
Extracción 82,55,2023-07-27, '289.00'
Extracción 83,55,2023-07-28, '289.00'
Extracción 84,55,2023-07-30, '289.00'
Extracción 85,55,2023-07-30, '289.00'
Extracción 86,55,2023-07-31, 0
Extracción 87,55,2023-08-02, '289.00'
Extracción 88,55,2023-08-02, '274.00'
Extracción 89,55,2023-08-03, '274.00'
Extracción 90,55,2023-08-05, 0
Extracción 91,55,2023-08-05, '274.00'
Extracción 92,55,2023-08-06, '274.00'
Extracción 93,55,2023-08-08, '274.00'
Extracción 94,55,2023-08-08, '274.00'
Extracción 95,55,2023-08-09, '274.00'
Extracción 96,55,2023-08-11, '299.00'
Extracción 97,55,2023-08-11, '299.00'
Extracción 98,55,2023-08-12, '299.00'
Extracción 99,55,2023-08-14, '299.00'
Extracción 100,55,2023-08-14, '299.00'
Extracción 101,55,2023-08-15, '299.00'
Extracción 102,55,2023-08-17, '299.00'
Extracción 103,55,2023-08-17, '299.00'
Extracción 104,55,2023-08-18, '299.00'
Extracción 105,55,2023-08-20, '299.00'
Extracción 106,55,2023-08-20, '299.00'
Extracción 107,55,2023-08-21, '299.00'
Extracción 108,55,2023-08-23, '299.00'
Extracción 109,55,2023-08-23, '299.00'
Extracción 110,55,2023-08-24, '299.00'
Extracción 111,55,2023-08-26, '299.00'
Extracción 112,55,2023-08-26, '299.00'
Extracción 113,55,2023-08-27, '299.00'
Extracción 114,55,2023-08-29, '299.00'
Extracción 115,55,2023-08-29, '299.00'
Extracción 116,55,2023-08-30, '299.00'
Extracción 117,55,2023-09-01, '299.00'
Extracción 118,55,2023-09-01, '299.00'
Extracción 119,55,2023-09-02, '299.00'
Extracción 120,55,2023-09-04, '299.00'
Extracción 121,55,2023-09-04, '299.00'
Extracción 122,55,2023-09-05, '299.00'
Extracción 123,55,2023-09-07, '299.00'
Extracción 124,55,2023-09-07, '299.00'
Extracción 125,55,2023-09-08, '299.00'
Extracción 126,55,2023-09-10, '299.00'
Extracción 127,55,2023-09-10, '299.00'
Extracción 128,55,2023-09-11, '299.00'
Extracción 129,55,2023-09-13, '299.00'
Extracción 130,55,2023-09-13, '299.00'
Extracción 131,55,2023-09-14, '299.00'
Extracción 132,55,2023-09-16, '299.00'
Extracción 133,55,2023-09-16, '299.00'
Extracción 134,55,2023-09-17, '299.00'
Extracción 135,55,2023-09-19, '299.00'
Extracción 136,55,2023-09-19, '299.00'
Extracción 137,55,2023-09-20, '299.00'
Extracción 138,55,2023-09-22, '299.00'
Extracción 139,55,2023-09-22, '299.00'
Extracción 140,55,2023-09-23, '299.00'
Extracción 141,55,2023-09-25, '299.00'
Extracción 142,55,2023-09-25, '299.00'
Extracción 143,55,2023-09-26, '299.00'
Extracción 144,55,2023-09-28, '299.00'
Extracción 145,55,2023-09-28, '299.00'
Extracción 146,55,2023-09-29, '299.00'
Extracción 147,55,2023-10-01, '299.00'
Extracción 148,55,2023-10-01, '299.00'
Extracción 149,55,2023-10-02, '299.00'
Extracción 150,55,2023-10-04, '299.00'
Extracción 151,55,2023-10-04, '299.00'
Extracción 152,55,2023-10-05, '299.00'
Extracción 153,55,2023-10-07, 0
Extracción 154,55,2023-10-07, 0
Extracción 155,55,2023-10-08, '299.00'
Extracción 156,55,2023-10-10, '299.00'
Extracción 157,55,2023-10-10, '299.00'
Extracción 158,55,2023-10-11, '299.00'
Extracción 159,55,2023-10-13, '299.00'
Extracción 160,55,2023-10-13, '299.00'
Extracción 161,55,2023-10-14, '299.00'
Extracción 162,55,2023-10-16, '299.00'
Extracción 163,55,2023-10-16, '299.00'
Extracción 164,55,2023-10-17, '299.00'
Extracción 165,55,2023-10-19, '299.00'
Extracción 166,55,2023-10-19, '299.00'
