N_Extracción,Product ID,Fecha,Precio
Extracción 0,96,2023-05-07, '359'
Extracción 1,96,2023-05-07, '359'
Extracción 2,96,2023-05-08, '359.99'
Extracción 3,96,2023-05-08, '359.99'
Extracción 4,96,2023-05-09, '359'
Extracción 5,96,2023-05-09, '359.99'
Extracción 6,96,2023-05-10, '359'
Extracción 7,96,2023-05-10, '359'
Extracción 8,96,2023-05-11, '359.99'
Extracción 9,96,2023-05-11, '359'
Extracción 10,96,2023-05-12, '359'
Extracción 11,96,2023-05-12, '359.99'
Extracción 12,96,2023-05-13, '359'
Extracción 13,96,2023-05-13, '359'
Extracción 14,96,2023-05-14, '359.99'
Extracción 15,96,2023-05-14, '359.99'
Extracción 16,96,2023-05-15, '359'
Extracción 17,96,2023-05-15, '439.99'
Extracción 18,96,2023-05-16, '439.99'
Extracción 19,96,2023-05-16, '439.99'
Extracción 20,96,2023-05-17, '439.99'
Extracción 21,96,2023-05-17, '439.99'
Extracción 22,96,2023-05-18, '439.99'
Extracción 23,96,2023-05-18, '439.99'
Extracción 24,96,2023-05-19, '399'
Extracción 25,96,2023-05-19, '399'
Extracción 26,96,2023-05-20, '399'
Extracción 27,96,2023-05-20, '399'
Extracción 28,96,2023-05-21, '399'
Extracción 29,96,2023-05-21, '399'
Extracción 30,96,2023-05-22, '399'
Extracción 31,96,2023-05-22, '399'
Extracción 32,96,2023-05-23, '399'
Extracción 33,96,2023-05-23, '439.99'
Extracción 34,96,2023-05-24, '439.99'
Extracción 35,96,2023-05-24, '439.99'
Extracción 36,96,2023-05-25, '439.99'
Extracción 37,96,2023-05-25, '439.99'
Extracción 38,96,2023-05-26, '439.99'
Extracción 39,96,2023-05-26, '439.99'
Extracción 40,96,2023-05-27, '439.99'
Extracción 41,96,2023-05-27, '439.99'
Extracción 42,96,2023-05-28, '439.99'
Extracción 43,96,2023-05-28, '439.99'
Extracción 44,96,2023-05-29, '439.99'
Extracción 45,96,2023-05-29, '439.99'
Extracción 46,96,2023-05-30, '439.99'
Extracción 47,96,2023-05-30, '439.99'
Extracción 48,96,2023-05-31, '439.99'
Extracción 49,96,2023-05-31, '439.99'
Extracción 50,96,2023-06-01, '439.99'
Extracción 51,96,2023-06-01, '439.99'
Extracción 52,96,2023-06-02, '439.99'
Extracción 53,96,2023-06-02, '439.99'
Extracción 54,96,2023-06-03, '439.99'
Extracción 55,96,2023-06-03, '439.99'
Extracción 56,96,2023-06-04, '439.99'
Extracción 57,96,2023-06-04, '439.99'
Extracción 58,96,2023-06-05, '439.99'
Extracción 59,96,2023-06-05, '439.99'
Extracción 60,96,2023-06-06, '439.99'
Extracción 61,96,2023-06-06, '439.99'
Extracción 62,96,2023-06-07, '439.99'
Extracción 63,96,2023-06-07, '439.99'
Extracción 64,96,2023-06-08, '439.99'
Extracción 65,96,2023-06-08, '439.99'
Extracción 66,96,2023-06-09, '439.99'
Extracción 67,96,2023-06-09, '439.99'
Extracción 68,96,2023-06-10, '439.99'
Extracción 69,96,2023-06-10, '439.99'
Extracción 70,96,2023-06-11, '439.99'
Extracción 71,96,2023-06-11, '439.99'
Extracción 72,96,2023-06-12, '439.99'
Extracción 73,96,2023-06-12, '439.99'
