N_Extracción,Product ID,Fecha,Precio
Extracción 0,84,2023-05-07, '399'
Extracción 1,84,2023-05-07, '399'
Extracción 2,84,2023-05-08, '399.99'
Extracción 3,84,2023-05-08, '399'
Extracción 4,84,2023-05-09, '399'
Extracción 5,84,2023-05-09, '399'
Extracción 6,84,2023-05-10, '399'
Extracción 7,84,2023-05-10, '399'
Extracción 8,84,2023-05-11, '399'
Extracción 9,84,2023-05-11, '399'
Extracción 10,84,2023-05-12, '399'
Extracción 11,84,2023-05-12, '399'
Extracción 12,84,2023-05-13, '399'
Extracción 13,84,2023-05-13, '399'
Extracción 14,84,2023-05-14, '399'
Extracción 15,84,2023-05-14, '399'
Extracción 16,84,2023-05-15, '399'
Extracción 17,84,2023-05-15, '399'
Extracción 18,84,2023-05-16, '399'
Extracción 19,84,2023-05-16, '399'
Extracción 20,84,2023-05-17, '399.99'
Extracción 21,84,2023-05-17, '399'
Extracción 22,84,2023-05-18, '399'
Extracción 23,84,2023-05-18, '399'
Extracción 24,84,2023-05-19, '399'
Extracción 25,84,2023-05-19, '399'
Extracción 26,84,2023-05-20, '399'
Extracción 27,84,2023-05-20, '399'
Extracción 28,84,2023-05-21, '399'
Extracción 29,84,2023-05-21, '399'
Extracción 30,84,2023-05-22, '399'
Extracción 31,84,2023-05-22, '399'
Extracción 32,84,2023-05-23, '399'
Extracción 33,84,2023-05-23, '399'
Extracción 34,84,2023-05-24, '399'
Extracción 35,84,2023-05-24, '399'
Extracción 36,84,2023-05-25, '399'
Extracción 37,84,2023-05-25, '399'
Extracción 38,84,2023-05-26, '399'
Extracción 39,84,2023-05-26, '399'
Extracción 40,84,2023-05-27, '399.99'
Extracción 41,84,2023-05-27, '399'
Extracción 42,84,2023-05-28, '399'
Extracción 43,84,2023-05-28, '399'
Extracción 44,84,2023-05-29, '399'
Extracción 45,84,2023-05-29, '399'
Extracción 46,84,2023-05-30, '399'
Extracción 47,84,2023-05-30, '399'
Extracción 48,84,2023-05-31, '399'
Extracción 49,84,2023-05-31, '399'
Extracción 50,84,2023-06-01, '399'
Extracción 51,84,2023-06-01, '399'
Extracción 52,84,2023-06-02, '399.99'
Extracción 53,84,2023-06-02, '399'
Extracción 54,84,2023-06-03, '399'
Extracción 55,84,2023-06-03, '399'
Extracción 56,84,2023-06-04, '399'
Extracción 57,84,2023-06-04, '399'
Extracción 58,84,2023-06-05, '399'
Extracción 59,84,2023-06-05, '399'
Extracción 60,84,2023-06-06, '399.99'
Extracción 61,84,2023-06-06, '399'
Extracción 62,84,2023-06-07, '399'
Extracción 63,84,2023-06-07, '399'
Extracción 64,84,2023-06-08, '399'
Extracción 65,84,2023-06-08, '399'
Extracción 66,84,2023-06-09, '399'
Extracción 67,84,2023-06-09, '399'
Extracción 68,84,2023-06-10, '399'
Extracción 69,84,2023-06-10, '399.99'
Extracción 70,84,2023-06-11, '399'
Extracción 71,84,2023-06-11, '399'
Extracción 72,84,2023-06-12, '399'
Extracción 73,84,2023-06-12, '399'
Extracción 74,84,2023-06-13, '399'
Extracción 75,84,2023-06-13, '399.99'
Extracción 76,84,2023-06-14, '399'
Extracción 77,84,2023-06-14, '399'
Extracción 78,84,2023-06-15, '399'
Extracción 79,84,2023-06-15, '399'
Extracción 80,84,2023-06-16, '399.99'
Extracción 81,84,2023-06-16, '399'
Extracción 82,84,2023-06-17, '399'
Extracción 83,84,2023-06-17, '399.99'
Extracción 84,84,2023-06-18, '399'
Extracción 85,84,2023-06-18, '399'
Extracción 86,84,2023-06-19, '399.99'
Extracción 87,84,2023-06-19, '399'
Extracción 88,84,2023-06-20, '399'
Extracción 89,84,2023-06-20, '399.99'
Extracción 90,84,2023-06-21, '399'
Extracción 91,84,2023-06-21, '399'
